ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
IBONV,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804112358,201804112358
IBRID,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804191446,201804191446
ICAG,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Initiate with the lower limit of the dosage range (accumulation may occur with renal impairment and subsequent doses may require adjustment based on serum calcium concentrations).,,201804231738,201804231738
ICEF1,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: 1 -2 gm Q24-48H (+ extra 0.5-1 gm after dialysis),,,
ICEF1,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,1 -2 gm Q24-48H,,,
ICEF1,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,1 -2 gm Q12H,,,
ICEF1,¦¨¤H,Clcr,50.00,90.00,mL/min,mL/min,1 -2 gm Q8H,,,
ICEF1,¨àµ£,Clcr,5.00,20.00,mL/min,mL/min,10% of the normal daily dose given every 24 hr,,201803261632,201803261632
ICEF1,¨àµ£,Clcr,20.00,40.00,mL/min,mL/min,25% of the normal dose divided every 12 hr,,201803261632,201803261632
ICEF1,¨àµ£,Clcr,40.00,70.00,mL/min,mL/min,60% of the normal daily dose divided every 12 hr,,201803261632,
ICEFT,¦¨¤H,Clcr,0,0,mL/min,mL/min,give initial 1 g loading dose followed by 1 g after each hemodialysis period,¦å²G³zªR±wªÌ,201803261636,
ICEFT,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,0.5 g every 48 hours,,201803261635,
ICEFT,¦¨¤H,Clcr,6.00,15.00,mL/min,mL/min,0.5 g every 24 hours,,201803261635,
ICEFT,¦¨¤H,Clcr,16.00,30.00,mL/min,mL/min,1 g every 24 hours,,201803261635,
ICEFT,¦¨¤H,Clcr,31.00,50.00,mL/min,mL/min,1 g every 12 hours,,201803261634,
ICERE,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌ¤£«ØÄ³¨Ï¥Î,,201804261423,201804261423
ICET,¦¨¤H,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 48 hours (after hemodialysis),Micromedex,201803261642,202011111046
ICET,¦¨¤H,eGFR,10.00,29.00,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 24 hours,Micromedex,201803261640,202011111047
ICET,¦¨¤H,eGFR,30.00,49.00,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 16 hours,Micromedex,201803261640,202011111047
ICET,¦¨¤H,eGFR,50.00,90.00,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 12 hours,Micromedex,201803261640,202011111047
ICETR,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,µL¬ÛÃö¬ã¨sÀ³ÂÔ·V¨Ï¥Î,201804231429,201810211205
ICIP2,¦¨¤H,Clcr,0,4.00,mL/min,mL/min,¨Ì¤W­zClcr­È½Õ¾ã¡A©ó³zªR§¹¦Aµ¹ÃÄ,,,
ICIP2,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,200 to 400 mg IV every 18 to 24 hours,400mg/day,,
ICIP2,¦¨¤H,Clcr,30.00,120.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,800mg/day,,
ICIT3,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à»ÙÃªªÌÀ³ÂÔ·V¨Ï¥Î,,201804191527,201804191527
ICLA1,¦¨¤H,eGFR,0,20.00,mL/min/1.73m2,mL/min/1.73m2,Dose should be reduced by 50%,MICROMEDEX (2020-05-26),202005261654,202005261649
ICLA1,¦¨¤H,Clcr,0,0,mL/min,mL/min,H/D: 1 ~ 2g q24h AD CAPD: 1 ~ 2g q24h,¥é³æ,202005261647,202005261649
ICLA1,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,1 - 2gm q24h,Sanford Guide(Web) (2020-05-26),202005261658,202005261649
ICLA1,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Loading dose: 1g; Maintenance dose: 50% of normal dose with same freqency,¥é³æ,202005261644,
ICLA1,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,1 - 2gm q12-24h,Sanford Guide(Web) (2020-05-26),202005261657,202005261649
ICLAR2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,[¥é³æ]­««×µÇ¥\¯à¤£¥þ¡]GFR<30mL/min/1.73m2¡^¡AÀ³¥ýÂÔ·Vµû¦ô¡A¦pªG¥²¶·¨Ï¥Î¡A¨C¤½¤çÅé­«ªºª`®g¾¯¶q¤£¥i¶W¹L 0.1 mmol/kg¡C¨C¦¸±½´y¤§ª`®g¤£¥i¶W¹L¤@¦¸¡C,,202001121050,202001121053
ICLEX,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,DVT prophylaxis in abdominal surgery¡A hip replacement¡A knee replacement¡A or in medical patients during acute illness: SubQ: 30 mg once daily.,,201804191144,
ICLI15,¦¨¤H,Clcr,0,0,mL/min,mL/min,¹ï©óµÇ¥\¯à¤£¥þ±wªÌ¡AÀ³¸ÓÂÔ·Vª`·N,ÄY­«µÇ¥\¯à°IºÜ ÄY­«µÇ¥\¯à°IºÜ±wªÌ³Ì¦n¨Ï¥Î¯S®í°t¤èªº®ò°ò»Ä·»²G,201804261519,201804261519
ICOL,¦¨¤H,Scr,0.70,1.20,mg/dL,mg/dL,100-150mg Q6H-Q12H¡A approximate daily dose = 5mg/kg/day,300mg/day,,
ICOL,¦¨¤H,Scr,1.30,1.50,mg/dL,mg/dL,75-115mg Q12H¡A approximate daily dose = 2.5-3.8mg/kg/day,150-230mg/day,,
ICOL,¦¨¤H,Scr,1.60,2.50,mg/dL,mg/dL,66-150mg Q12H-Q24H¡A approximate daily dose = 2.5mg/kg/day,133-150mg/day,,
ICOL,¦¨¤H,Scr,2.60,4.00,mg/dL,mg/dL,100-150mg Q36H¡A approximate daily dose = 1.5mg/kg/day,100mg/day,,
ICOL,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,1.5 mg/kg IM or IV every 36 hours,,,
ICOL,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,2.5 mg/kg IM or IV once daily or in 2 divided doses,,,
ICOL,¦¨¤H,Clcr,50.00,79.00,mL/min,mL/min,2.5 to 3.8 mg/kg/day IM or IV in 2 divided doses,,,
ICRA2,¦¨¤H,Clcr,0,19.99,mL/min,mL/min,¡i¼ö¯f¡j: 750 mg once¡A then 500 mg q48h (Hemodialysis¡A CAPD¡A CRRT¬Ò¾A¥Î),,202112031347,202112031349
ICRA2,¦¨¤H,Clcr,10.00,19.00,mL/min,mL/min,¡i250mg/day regimen¡j: 250mg q48h  ¡i500mg/day regimen¡j: loading 500mg¡A then 250mg q48h ¡i750mg/day regimen¡j: loading 750mg¡A then 500mg q48h,,,201908291500
ICRA2,¦¨¤H,Clcr,20.00,49.00,mL/min,mL/min,¡i250mg/day regimen¡j: no adjustment required  ¡i500mg/day regimen¡j: loading 500mg¡A then 250mg q24h  ¡i750mg/day regimen¡j: 750mg q48h ¡i¼ö¯f¡j: 750mg q48h,,,202112031348
ICRA2,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,,
IDDA,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤¤«×¨ìÄY­«ªºµÇ¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,¸ê®Æ¨Ó·½:Micromedex,201907241538,201804242350
IDES,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ°IºÜ±wªÌÀ³¤p¤ß¨Ï¥Î¡AÅK©M¾Tªº½Æ¦Xª«¤§±Æ°£·|¦]³zªR¦Ó¼W¥[¡AÀ³¦Ò¼{ºÊ´ú±wªÌµÇ¥\¯àÅÜ¤Æ,,201804191458,201804191458
IDEXA,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¾÷¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804231401,201804231401
IDIF,¦¨¤H,Clcr,10.00,20.99,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j¬°72¤p®É¡A©Î¥¿±`¨C¤é¾¯¶qªº¤T¤À¤§¤@¡Aµ¹ÃÄ¶¡¹j24¤p®É,,,
IDIF,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j¬°48¤p®É¡A©Î¥¿±`¨C¤é¾¯¶qªº¤@¥bµ¹ÃÄ¶¡¹j24¤p®É,,,
IDIF,¦¨¤H,Clcr,40.01,999.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j¬°24¤p®É,,,
IDIG2,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤ÎµL§¿±Æªn¯f¤H¡A¥b°I´Á¥i¯à©µªø¦Ü100¤p®É¡A¦]¦¹¥i¯à»Ý­n´î¤Öºû«ù¾¯¶q¡C,,201804120018,201804120018
IDIPE,¦¨¤H,Clcr,0,25.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804261426,201804261426
IDIPH,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,µ¹ÃÄ¶¡¹j 12-18 ¤p®É,,201804242359,201804242359
IDIPH,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,µ¹ÃÄ¶¡¹j 6-12 ¤p®É,,201804242359,
IDIPH,¦¨¤H,Clcr,50.00,0,mL/min,mL/min,µ¹ÃÄ¶¡¹j 6 ¤p®É,,201804242358,
IDOR,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Decrease dose by 50%,,201804191531,201804191531
IDYN,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,À³±q³Ì§C¾¯¶q¶}©l¨Ï¥Î¡A¨Ã±K¤ÁºÊ´ú¯f¤HµÇ¥\¯à,,201804141610,
IEND,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,­°§C50% ªº¾¯¶q¡C,,201804301558,
IENH,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,No recommendation was established.,¥é³æ 20230116,202301161546,202301161546
IEPH,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦Ñ¦~¯f¤H·|«ØÄ³±q¤@¯ë«ØÄ³¾¯¶q¤§½d³ò¤¤ªº³Ì§C¾¯¶q¨Ó¶}©l¨Ï¥Î,,201804120027,201804120027
IESM,¦¨¤H,Clcr,0,0,mL/min,mL/min,¨Ï¥Î 0.6 mg.kg-1 ¤§ rocuronium bromide¬°§Ö³t³Â¾K»¤¾É¤§´¡ºÞ¾¯¶q®É¡A³oÃþ¯f¤H¤§Á{§É§@¥Î®É¶¡¹w´Á¥i¯à·|©µªø¡CµL½×¨Ï¥Î¦óºØ³Â¾K§Þ³N¡A³oÃþ¯f¤H¤§±ÀÂËºû«ù¾¯¶q¬°0.075-0.1 mg.kg-1¤§rocuronium bromide¡A¦Ó±ÀÂË¿éª`²v¬°0.3~0.4 mg.kg-1.h-1,,201804160518,
IFADI,¦¨¤H,Clcr,49.00,0,mL/min,mL/min,Administer 50% of dose or increase the dosing interval to every 36 to 48 hours.,uptodate 20200803,202003121413,202008031022
IFAM,¦¨¤H,Clcr,0,49.99,mL/min,mL/min,Administer 50% of dose or increase the dosing interval to every 36 to 48 hours.,,201804131612,201910141634
IFAS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¶·ÂÔ·V¨Ï¥Î,,201805021609,
IFAS0,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¶·ÂÔ·V¨Ï¥Î,,201805021609,
IFIR,¦¨¤H,eGFR,0,49.99,mL/min/1.73m2,mL/min/1.73m2,use with caution.,,201902271525,
IFIR8,¦¨¤H,eGFR,0,49.99,mL/min/1.73m2,mL/min/1.73m2,use with caution.,,201812191213,
IFMR,¦¨¤H,Clcr,5.00,0,mL/min,mL/min,0.5g/day,2021/01/28¼t°Ó´£¨Ñ¸ê°T,202101281551,202101281542
IFMR,¦¨¤H,Clcr,25.00,5.00,mL/min,mL/min,1g/day,2021/01/28¼t°Ó´£¨Ñ¸ê°T,202101281542,202101281542
IFMR,¦¨¤H,Clcr,50.00,25.00,mL/min,mL/min,2g/day,2021/01/28¼t°Ó´£¨Ñ¸ê°T,202101281541,202101281542
IFMR,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,µL¬ÛÃö¬ö¸ü,¥é³æ,202101251230,
IFOLI,¦¨¤H,Clcr,0,0,mL/min,mL/min,¯f¤H­Y¦³¸¡¤ô¡A¯Ý½¤º¯³z²G¡AµÇ¥\¯à»ÙÃª©ÎHydration¤£°÷®É·|©µ¿ðmethotrexate±Æ¥X¡AÀ³¦Ò¼{¼W¥[Folina¾¯¶q©Î©µªøªvÀø®É¶¡,,201804191521,201804191521
IFRA,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling. Use with caution in severe renal impairment; accumulation may occur with repeated dosing¡A increasing the risk for bleeding.,,201804191146,
IFRA5,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,¹ï©óÅãµÛµÇ°IºÜ¤§¯f¤H(¨ä©w¸q¬°¦Ù»ÄÓþ>3­¿ULN)¡AÀ³½Õ¾ãdalteparinªº¾¯¶q¡A ¨Ï§ÜXa¦]¤l¿@«×¦bª`®gdalteparin«á4~6¤p®Éºû«ù¦b1 IU/mL (½d³ò¡G0.5-1.5 IU/mL)ªºªvÀø ¿@«×¡C¦pªG§ÜXa¦]¤l¿@«×§C©ó©Î°ª©óªvÀø½d³ò¡AÀ³¤À§O¥Îª`®g°wµ©»s¾¯¼W¥[©Î­°§C¾¯¶q¡A ¨Ã©ó§ë¤©3-4­Ó·s¾¯¶q¤§«á­«·sÀË´ú§ÜXa¦]¤l¿@«×¡C­«½Æ¶i¦æ¦¹ºØ¾¯¶q½Õ¾ã¡Aª½¦Ü¹F¨ì §ÜXa¦]¤lªvÀø¿@«×¬°¤î¡C,¥é³æ,202110061300,202110061301
IFUR1,¦¨¤H,Clcr,0,0,mL/min,mL/min,a supplemental dose should be given after hemodialysis,¦å²G³zªR±wªÌ,201803261645,
IFUR1,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,750 mg every 24 hr,,201803261645,
IFUR1,¦¨¤H,Clcr,10.00,20.00,mL/min,mL/min,750 mg every 12 hr,,201803261644,
IFYT,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,75%¾¯¶q,,201805021612,201805021612
IFYT,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,100%¾¯¶q,,201805021612,201805021612
IGEN8,¦¨¤H,Clcr,20.00,39.00,mL/min,mL/min,usual mg/kg dose every 48 hours (once-daily dosing),,202003150919,
IGEN8,¦¨¤H,Clcr,40.00,59.00,mL/min,mL/min,usual mg/kg dose every 36 hours (once-daily dosing),,202003150919,
IGEN8,¦¨¤H,Clcr,60.00,120.00,mL/min,mL/min,usual mg/kg dose every 24 hours (once-daily dosing),,202003150919,
IGENT,¦¨¤H,Clcr,20.00,39.00,mL/min,mL/min,usual mg/kg dose every 48 hours (once-daily dosing),,,
IGENT,¦¨¤H,Clcr,40.00,59.00,mL/min,mL/min,usual mg/kg dose every 36 hours (once-daily dosing),,,
IGENT,¦¨¤H,Clcr,60.00,120.00,mL/min,mL/min,usual mg/kg dose every 24 hours (once-daily dosing),,,
IGLY1,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤§¯f±wÀ³ÂÔ·V¨Ï¥Î,¥é³æ,201804121422,202201120909
IGLY3,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤§¯f±wÀ³ÂÔ·V¨Ï¥Î,¥é³æ,202201120909,202201120909
IHALA,¦¨¤H,Clcr,15.00,49.00,mL/min,mL/min,Reduce initial dose to 1.1 mg/m2,202106¥é³æ,202106171505,202106171519
IHYC,¦¨¤H,Clcr,20.00,39.00,mL/min,mL/min,0.75mg/m2,,201805021619,
IHYC,¦¨¤H,Clcr,40.00,60.00,mL/min,mL/min,¤£»Ý½Õ¾ã,,201805021619,
IIG3,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,IV: Use with caution due to risk of immune globulin-induced renal dysfunction; the rate of infusion and concentration of solution should be minimized. Discontinue if renal function deteriorates during treatment.,,201804231623,
IINV2,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804142336,201804142336
IINV2,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,156 mg IM on day 1 and 117 mg IM 1 week later,maintenance¡A 78 mg IM monthly,201804142336,
IINVZ,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: 500 mg IV every 24 hours; supplemental dose of 150 mg after hemodialysis if last dose administered within 6 hours prior to hemodialysis,Micromedex 20211005,202110051935,202110051934
IINVZ,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,CrCl 30 mL/min or less¡A 500 mg IV every 24 hours,Micromedex 20211005,202110051934,202110051934
IKCL,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261451,
IKCL2,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261452,201804261452
IKCL5S,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261453,201804261453
IKCL6,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261455,201804261455
IKCL7S,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261456,201804261456
IKCL8S,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261456,201804261456
IKEP,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg IV every 12 hours,,201804160412,201804160416
IKEP,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg IV every 12 hours,,201804160412,
IKEP,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg IV every 12 hours,,201804160411,
IKETO,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ¡A«ØÄ³µ¹ÃÄ¶¡¹j¬° ¨C6¤p®É ¨C¦¸15mg,³Ì°ª¨C¤é¾¯¶q¬°60 mg/day,201804141541,201912091116
ILEV,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,¦Ñ¦~¯f¤H·|«ØÄ³±q¤@¯ë«ØÄ³¾¯¶q¤§½d³ò¤¤ªº³Ì§C¾¯¶q¨Ó¶}©l¨Ï¥Î,,201808231126,
ILEV2,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦Ñ¦~¯f¤H·|«ØÄ³±q¤@¯ë«ØÄ³¾¯¶q¤§½d³ò¤¤ªº³Ì§C¾¯¶q¨Ó¶}©l¨Ï¥Î,,201804120029,201804120029
ILEVET,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg IVD every 12 hours,,201903240936,201903241015
