ÃÄ«~¥N½X,ÃÄ«~¾Ç¦W,ÃÄ«~¦WºÙ,ÃÄ«~¤ÀÃþ,¾AÀ³¯g,¸T§Ò,°Æ§@¥Î,Àx¦s,¥Îªk¥Î¶q,¨x¥\¯à²§±`(Y/N),¨x¥\¯à²§±`»¡©ú,µÇ¥\¯à²§±`(Y/N),Ãh¥¥¥ÎÃÄ¦MÀI¤À¯Å,¥¥´Á¥ÎÃÄ«ØÄ³,¥¥´Áªþ±a»¡©ú,­÷¨Å´Á¥ÎÃÄ«ØÄ³,­÷¨Å´Áªþ±a»¡©ú,µ¹ÃÄ³~®|,°®¯»µ}ÄÀ²G,¿éª`ÂIºw²G,IVP¥Îªk«ØÄ³,IVD¥Îªk«ØÄ³,ª`·N¨Æ¶µ
OLISA,Cephradine,Lisacef 500mg,QANB,,¾AÀ³¯g: Infection of the respiratory tract¡A GUT¡A skin & skin structure¡A bone & joints; septicemia. °Æ§@¥Î: GI disturbances¡A hypersensitivity reactions. ¸T§Ò: Hypersensitivity to cephalosporins.,,«Ç·Å,Adult: 0.5-1 g q4-6h¡A (max. 8 g/day). Child over 1 yr: 50-100 mg/kg/day in 4 divided doses; max. daily dose should not exceed the recommended adult dose.,,,,¥i¯à¦w¥þ,,,,,,,,,,
OLISE,Metergoline,Liserdol 4mg (­­¦Û¶O),HM,,,,,,,,,,,,,,,,,,,
OLIT,Lithium,Lithonate 300mg,CNEU,,Treatment of manic episodes of manic depressive illness.,,,Acute mania: Initial 600 mg tid¡A Mintenance: 300 mg tid.,,,,ºÉ¶qÁ×§K,,,,,,,,,,
OLOS,Omeprazole,Losec 20mg,ALIM,,Gastric and peptic ulcer¡A gastroesophageal reflex.,,,Active ulcer: 20 mg qd. Pathological hypersecretory conditions: Initial¡A 60 mg qd. Zollinger-Ellison syndrome: 20~40mg qd. S/P: 1. In elderly patients¡A the daily dose usually should not exceed 20 mg. 2. Swallow capsule whole.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
OLUVO,Fluvoxamine,Luvox 50mg,CNEU,Treatment of symptoms of depressive illness. Obsessive compulsive disorder in children & adolescents.,None.,Nausea¡A vomiting¡A asthenia¡A headache¡A malaise¡A palpitations/tachycardia¡A abdominal pain¡A anorexia¡A constipation¡A diarrhoea¡A dry mouth¡A dyspepsia¡A agitation¡A anxiety¡A dizziness¡A insomnia¡A nervousness¡A somnolence¡A tremor¡A sweating¡A (postural) hypotension¡A arthralgia¡A myalgia¡A ataxia¡A confusion¡A extrapyramidal symptoms¡A hallucinations¡A abnormal (delayed) ejaculation¡A cutaneous hypersensitivity reactions (including rash¡A pruritus¡A angioedema)¡A liver dysfunction¡A convulsions¡A mania¡A galactorrhoea¡A photosensitivity¡A weight gain/loss¡A serotonin syndrome¡A neuroleptic malignant syndrome-like events¡A hyponatremia & SIADH¡A withdrawal reactions¡A haemorrhage¡A paresthesia¡A anorgasmy & taste perversion. Dermatologic: Sweating (immediate-release¡A 7%; extended-release (social anxiety disorder)¡A 6%; extended-release (obsessive-compulsive disorder)¡A 7% ) Gastrointestinal: Diarrhea (immediate-release¡A 11%; extended-release (social anxiety disorder)¡A 14%; extended-release (obsessive-compulsive disorder)¡A 18% )¡A Indigestion (immediate-release¡A 10%; extended-release (social anxiety disorder)¡A 10%; extended-release (obsessive-compulsive disorder)¡A 8% )¡A Loss of appetite (immediate-release¡A 6%; extended-release (social anxiety disorder)¡A 14%; extended-release (obsessive-compulsive disorder)¡A 13% )¡A Nausea (immediate-release¡A 40%; extended-release (social anxiety disorder)¡A 39%; extended-release (obsessive-compulsive disorder)¡A 34% )¡A Xerostomia (immediate-release¡A 14%; extended-release (social anxiety disorder)¡A 11%; extended-release (obsessive-compulsive disorder)¡A 10% ) Neurologic: Asthenia (immediate-release¡A 14%; extended-release (social anxiety disorder)¡A 24%; extended-release (obsessive-compulsive disorder)¡A 26% )¡A Dizziness (immediate-release¡A 11%; extended-release (social anxiety disorder)¡A 15%; extended-release (obsessive-compulsive disorder)¡A 12% )¡A Insomnia (immediate-release¡A 21%; extended-release (social anxiety disorder)¡A 32%; extended-release (obsessive-compulsive disorder)¡A 35% )¡A Somnolence (immediate-release¡A 22%; extended-release (social anxiety disorder)¡A 26%; extended-release (obsessive-compulsive disorder)¡A 27% )¡A Tremor (immediate-release¡A 5%; extended-release (social anxiety disorder)¡A 8%; extended-release (obsessive-compulsive disorder)¡A 6% ) Psychiatric: Agitation (immediate-release¡A 2%; extended-release (social anxiety disorder)¡A 3%; extended-release (obsessive-compulsive disorder)¡A 2% )¡A Anxiety (immediate-release¡A 5%; extended-release (social anxiety disorder)¡A 8%; extended-release (obsessive-compulsive disorder)¡A 6% )¡A Feeling nervous (immediate-release¡A 12%; extended-release (social anxiety disorder)¡A 10% ) Reproductive: Abnormal ejaculation (immediate-release¡A 8%; extended-release (social anxiety disorder)¡A 11%; extended-release (obsessive-compulsive disorder)¡A 10% )¡A Orgasm incapacity (immediate-release¡A 2%; extended-release¡A 5% ),25¢J¥H¤U,May be taken with or without food 100-200 mg daily. Maximum: 300 mg daily. The minimum recommended starting dose is 100 mg/day and can be given as a single dose; preferably in the evening.It is advisable that a total daily dose over 150 mg be given in 2 or 3 divided doses.,µL»Ý½Õ¾ã¾¯¶q,¨x¥\¯à¤£¥þ±wªÌ«ØÄ³ A lower initial dose¡A longer dosing interval¡A or slower titration may be necessary,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,Human data suggest risk in 3 rd trimester,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,AC;AC15;PC;PO;WM;,,,,,
OMAC,Mag Hydroxide + Alum Hydroxide,Macgel,ALIM,,Hyperacidity¡A peptic and doudenal ulcer¡A gastritis¡A flatulence.,,RT,2-4 tab qid pc 1hr.,,,,¥i¯à¦w¥þ,,,,,,,,,,
OACC,Zafirlukast,Accolate 20mg,ERSP,,¾AÀ³¯g:¥Dªv¤ä®ðºÞ­ý³Ý(B022398100),,«Ç·Å,20mg twice daily in adults and children 12 years and older. Since food reduces the bioavailability of zafirlukast¡AAccolate should be taken at least 1 hour before or 2 hours after meals.,,,,¥i¯à¦w¥þ,,,,,,,,,,
OACE,Perindopril,Acertil 4mg,CAVS,,,,RT,Hypertension 4mg daily as single dose¡A may be increased to a single 8mg dose. Elderly Start treatment 2mg dose. In renal insufficiency¡A dose has to be adapted according to creatinine clearance.,,,,ºÉ¶qÁ×§K,,,,,,,,,,
OACT,Acetylcysteine,Actein 100mg/pk Áû²É¾¯,ERSP,,¾AÀ³¯g: Acute & chronic respiratory tract infections with abundant mucous secretions. All forms of bronchitis¡A emphysema & bronchopulmonary complications with mucostasis; bronchial catarrh associated with pulmonary tubercular forms. °Æ§@¥Î: Bronchospasm¡A GI upsets¡A stomatitis; rhinorrhea¡A fever¡A hemoptysis; rarely anaphylactic reactions. Dermatologic: Pruritus (1% to 4.3% )¡A Rash (4% to 5% )¡A Urticaria Gastrointestinal: Diarrhea¡A Nausea (2% to 7% )¡A Vomiting (9% to 12% ) ¸T§Ò: Effervescent tab Phenylketonuria.,,«Ç·Å,Effervescent tab Adult & children > 6 years 1 effervescent tab daily. Granules Adult 200 mg. Children 100 mg. To be taken tid.,,,,¥i¯à¦w¥þ,,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,,,,,,
OAKI,Biperiden,Akineton 2mg,CNEU,,¾AÀ³¯g: Parkinsonism. °Æ§@¥Î: Fatigue¡A dizziness¡A drowsiness. Restlessness¡A confusion at higher doses. Occasionally¡A impairment of memory. In rare cases¡A hallucinations. Dry mouth¡A accommodation impairment¡A hypohydrosis¡A constipation¡A gastric discomfort¡A tachycardia. Very rarely¡A bradycardia. Skin allergy¡A dyskinesia. Rarely¡A urine retention. ¸T§Ò: Untreated narrow-angle glaucoma¡A intestinal stenoses or obstruction¡A megacolon¡A prostatic hypertrophy¡A life-threatening tachycardia.,,«Ç·Å,Initially¡A 1 mg bid. Maintenance: 3-16 mg/day(or 1-4 mg tid-qid) Max: 16 mg/day,,,,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,,,,,,
OALDA,Spironolactone,Aldactone 25mg,CAVS,,¾AÀ³¯g: Edematous disorders¡A Congestive cardiac failure¡A Liver cirrhosis¡A Nephrotic syndrome¡A Hypertension °Æ§@¥Î: GI symptoms; drowsiness; lethargy; headache; cutaneous eruptions; urticaria; mental confusion; drug fever; ataxia; impotence; amenorrhea; post-menopausal bleeding; gynecomastia; rarely agranulocytosis. ¸T§Ò: Acute renal insufficiency; significant impairment of renal function; anuria; hyperkalaemia; hypersensitivity.,,«Ç·Å,Edematous disorders: Daily dose given in divided doses or as single dose. Congestive cardiac failure: Initially¡A 100 mg/day; gradually increased up to 200 mg/day; usual maintenance dose¡A 25-200 mg/day. Liver cirrhosis Urinary Na/K ratio >1: recommended dose 100 mg/day¡A ratio <1: recommended dose 200-400 mg/day; maintenance dose individually determined. Nephrotic syndrome 100-200 mg/day. Idiopathic edema Usual dose 100 mg/day. Children Initial daily dose approximately 3.3 mg/kg body wt. Hypertension 50-100 mg/day given in divided doses or as a single daily dose. For difficult or severe casses¡A gradually increased at 2-wkly intervals up to 200 mg/day.,,,,ºÉ¶qÁ×§K,,,,,,,,,,
OALDO,Methyldopa,Aldomet 250mg,CAVS,,I: Moderate to severe hypertension. CI: Active hepatic disease.,,,Adult: Initial: 250 mg bid-tid. Maintenance: 500 mg-2g/day in 2-4 divided doses¡A Max. 3 g/day Child: Initial: 10 mg/kg/day in 2-4 divided doses¡A up to 65 mg/kg/day.,,,,¥i¯à¦w¥þ,,,,,,,,,,
OALK,Melphalan,Alkeran(Melphalan) 2mg,RACA,,Multiple myeloma¡A advanced ovarian aderocarcinoma¡A advanced breast carcinoma¡A polycythemia vera.,,,Multiple myeloma: 0.15 mg/kg/day with 40mg prednisolone daily in divided doses for 4 days. Repeat 6 weekly. Ovarian adenocarcinoma: 0.2 mg/kg/day for 5 days. Repeat 4-8 weekly. Advanced breast carcinoma: 0.15/kg/day for 5 weekly. Polycythemia vera: Induction: 6-10 mg daily for 5-7 days. Maintenance: 2-6 mg/week.,,,,ºÉ¶qÁ×§K,,,,,,,,,,
OALM,Diclofenac,Almiral 100mg(Voren),CNEU,,An analgesic¡A antipyretic¡A anti-inflammatory agents used in RA. and other rheumatic disorders.,,,100 mg qd¡A swallowed whole¡A,,,,,,,,,,,,,,
EZAL,Sertaconazole,Zalain cream 2%¡A 15gm,TDER,Topical treatment of skin mycoses eg dermophytosis¡A tinea pedis¡A tinea cruris¡A tinea corporis¡A tinea barbae¡A tinea manus¡A candidiasis & Pityriasis versicolor.,Hypersensitivity to any component of the formulation.,Slight local & transient erythematous reaction.,25¢XC ¥H¤U,Apply to affected area once-bid. Clinical improvement within 2-4 weeks of treatment.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,No (limited) human data ¡V probably compatible,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,EXT;,,,,,
ESYM,Budesonide + Formoterol,Symbicort Turbuhaler 160/4.5mcg,ERSP,Regular treatment of asthma where use of a combination (inhaled corticosteroid & long-acting £]2-agonist) is appropriate. Symptomatic treatment of severe COPD & history of repeated exacerbation symptoms despite regular therapy with long-acting bronchodilators.,Hypersensitivity to any component of the formulation.,Palpitation¡A oral candidiasis¡A headache¡A tremor¡A mild throat irritation¡A cough¡A hoarseness.,30¢J¥H¤U»\ºò²~»\,Anti-Inflammatory Reliever Therapy (patients with mild persistent asthma)¡A Adults and adolescents (12 years and older): 1 inhalation as needed in response to symptoms to control asthma. If symptoms persist after a few minutes¡A 1 additional inhalation should be taken. Not more than 6 inhalations should be taken on any single occasion. The maximum recommended total daily dose is 8 inhalations. Anti-inflammatory Reliever plus Maintenance Therapy (patients with moderate or severe asthma)¡A Adults and adolescents (12 years and older): 1 or 2 inhalations twice daily or 2 inhalations once daily. Additional doses can be used as needed to provide rapid symptom relief and improved asthma control. Patients should take 1 additional inhalation as needed in response to symptoms to control asthma. If symptoms persist after a few minutes¡A 1 additional inhalation should be taken. Not more than 6 inhalations should be taken on any single occasion. The maximum recommended total daily dose is 8 inhalations. Maintenance Therapy (patients with moderate or severe asthma)¡A Adults and adolescents (12 years and older): 1 or 2 inhalations once or twice daily. The maximum recommended daily maintenance dose is 4 inhalations.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,No (limited) human data ¡V probably compatible,BUDESONIDE: Compatible (Inhaled/Nasal) No Human Data¡XAnimal Data Suggest Risk (Oral) FORMOTEROL: Limited Human Data¡XProbably Compatible,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,BUDESONIDE: Limited Human Data¡XProbably Compatible FORMOTEROL: No Human Data¡XProbably Compatible,IH;,,,,,
ITARI,Ofloxacin,Tarivid IV 200mg,QANB,,I: UTI including sexually transmitted diseases¡A biliary tract¡A GIT¡A ENT¡A phthalmological¡A resp. tract¡A gynaecological¡A skin & soft tissue infections. AR: GI disturbances¡A headache¡A giddiness¡A sleep disorders¡A hypersensitivty reactions. CI: Hypersensitivty. Pregnancy & lactation. Epileptics with pre-existing CNS lesions involving a lowered threshold. Children or adolescents in the growth phase.,,,D: UTI: 200 mg once daily or 200 mg bid. Infections of the kidneys & reproductive organs: 200 mg bid. RTI¡A infections of ENT¡A infections of the skin & soft tissues¡A abdominal cavity or septicaemia: 200 mg bid¡A maybe increased to 400 mg bid in severe cases. IV infusion rate < 200 mg / 30 mins.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
ETRA,Travoprost,Travatan 0.004%¡A 2.5mL,TOPH,,¾AÀ³¯g: Reduction of intraocular pressure in patients with open-angle glaucoma or ocular HTN. °Æ§@¥Î: Ocular hyperemia¡A decreased visual acuity¡A eye discomfort¡A itch & pain¡A blepharitis¡A blurred vision¡A conjunctivitis¡A dry eye¡A foreign body sensation¡A iris discoloration¡A keratitis¡A photophobia & tearing. Neurologic: Foreign body sensation (5%-10%) Ophthalmic: Blepharitis¡A Blurred vision¡A Itching of eye (5%-10%)¡A Ocular hyperemia (35%-50%)¡A Pain in eye¡A Reduced visual acuity ¸T§Ò: Hypersensitivity to travoprost¡A benzalkonium chloride. Pregnancy & women who are attempting to get pregnant.,,«Ç·Å,1 drop in the affected eye(s) once every evening.,,,,°£«DªvÀø¤W»Ý­n,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,
OBUW,Hyoscyamine,Buwecon 0.125mg,ALIM,,¾AÀ³¯g: Control gastric secretion¡A visceral spasm & hypermotility in spastic colitis¡A spastic bladder¡A cystitis¡A pylorospasm & associated abdominal cramps °Æ§@¥Î: Dry mouth¡A urinary hesitancy & retention¡A blur vision¡A tachycardia. ¸T§Ò: Glaucoma¡A obstructive uropathy¡A GI obstruction¡A paralytic ileus¡A severe ulcerative colitis¡A myasthenia gravis.,,«Ç·Å,Adult & children > 12 years 1-2 tab 4 hrly. Max: 12 tab/day. Children 2-12 years 1/2-1 tab 4 hrly. Max: 6 tab/day.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,,,,,,
OFAR6,Toremifene,Fareston 60mg,RACA,,¾AÀ³¯g:Metastatic breast cancer in postmenopausal patients. °Æ§@¥Î:Hot flush¡A sweating¡A nausea¡A leukorrhea¡A dizziness¡A edema¡A pain¡A vomiting¡A vag bleeding¡A fatigue¡A skin discoloration¡A insomnia¡A dyspnea¡A pruritus¡A anorexia¡A reversible cornea¡A verticillata¡A asthenia. Thromboembolic events¡A endometrial hypertrophy. ¸T§Ò:Pre-existing endometrial hyperplasia¡A severe hepatic failure.,,«Ç·Å,D : 60 mg daily,,,,¨S¦³¸ê®Æ,,,,,,,,,,
IJEV1,Japanese Encephalitis Vaccine,JEV (¦Û¶O¤é¥»¸£ª¢¬Ì­]) 0.5-1mL/dose,HIMM,,¾AÀ³¯g: Active immunisation against encephalitis due to Japanese encephalitis virus. °Æ§@¥Î: Local reactions eg redness¡A swelling¡A tenderness or systemic reactions eg fever¡A chill¡A headache¡A lassitude. Rarely¡A severe adverse reactions manifesting as generalized urticaria or angioedema may occur. ¸T§Ò: Avoid use in the following unless absolutely necessary: patients with fever or severe malnutrition; CV¡A renal or hepatic diseases in acute¡A exacerbating or active phases; history of abnormal adverse reactions caused by this vaccine; history of spasmodic symptoms within 1 yr; pregnancy.,,2-8¢J,Adult Initially 2 inj of 1 mL SC at an interval of 7-14 days¡A with an additional 1 mL after 1 yr. Children <3 yr 3 doses of 0.5 mL.,,,,¨S¦³¸ê®Æ,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,
OZOV,Acyclovir,Zovirax 200mg,QANB,,¾AÀ³¯g:¯f¬r·P¬V(B012736100),,RT,Oral: 200 mg 5 times daily at 4 hrs intervals for 5days. Adult or child with impaired renal function: 200 mg q12h.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
SK1002,,§³®W²Ó¯¾×¶°£Á÷,TDER,,,,,,,,,,,,,,,,,,,
SK1004,,¯Ý³¡¯S§OÅ@«ùÁ÷,TDER,,,,,,,,,,,,,,,,,,,
SK1006,,»L³¡¯h³Ò³t¸ÑÁ÷,TDER,,,,,,,,,,,,,,,,,,,
ESA,Salicylic Acid,Salicylic Acid 5% 20mL,TDER,,¾AÀ³¯g: Hyperkeratotic and scaling skin conditions¡A Warts and calluses . °Æ§@¥Î: Irritation¡A sensitivity¡A excessive drying; systemic effects on prolonged use.,,«Ç·Å,Hyperkeratotic and scaling skin conditions As 2-6% preparation: Apply <=3 times/day. Warts and calluses As 60% preparation: Apply as directed.,,,,°£«DªvÀø¤W»Ý­n,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,
ESAN,Cyanocobalamin,Sancoba 0.02%¡A 5mL ophthalmic solution,TOPH,Relief of fatigue of ocular muscle.,Hypersensitivity to cyanocobalamin or any component of the formulation.,Transient stinging & burning¡A ocular irritation¡A allergic reactions.,Á×¥ú¤Î30¢J¥H¤U,Instill 1-2 drops TID-QID.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Compatible,Cyanocobalamin¡A See Vitamin B12,Compatible ­÷¨Å®É¥i¨Ï¥Î,Cyanocobalamin¡A See Vitamin B12,OD;OL;OU;,,,,,
ESER,Salmeterol,Serevent Accuhaler 50mcg(³æ¤è),ERSP,,I: Adult long-term regular treatment of reversible airways obstruction¡A in asthma & chronic bronchitis¡A emphyema. Childn¡Ù4 yr regular treatment of reversible airway obstruction in asthma including long lasting prevention of exercise-induced bronchospasm. AR: Tremor¡A paradoxical brochospasm¡A headache¡A palpitations¡A muscle cramps¡A tachycardia¡A hypersensitiviy reactions.,,,Accuhaler:adult 1 rotadisk blister bid. In patients with more severe airways obstruction¡A up to 2 rotadisk blister bid. Inhaler:adult: 2 inhalation bid. Child ¡Ù4 yr: 2 inhalation bid.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
ESERI,Salmeterol,Serevent inhaler 25mcg/dose,ERSP,,I: Adult long-term regular treatment of reversible airways obstruction¡A in asthma & chronic bronchitis¡A emphyema. Childn¡Ù4 yr regular treatment of reversible airway obstruction in asthma including long lasting prevention of exercise-induced bronchospasm. AR: Tremor¡A paradoxical brochospasm¡A headache¡A palpitations¡A muscle cramps¡A tachycardia¡A hypersensitiviy reactions.,,,Accuhaler:adult 1 rotadisk blister bid. In patients with more severe airways obstruction¡A up to 2 rotadisk blister bid. Inhaler:adult: 2 inhalation bid. Child ¡Ù4 yr: 2 inhalation bid.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
ESIL1,Silver Sulphadiazine,Silvazine cream 1gm,TDER,,I: Prevention of infectios in burns. CI: Pregnancy¡A premature & newborn infants.,,RT,Apply topically once daily,,,,¥i¯à¦w¥þ,,,,,,,,,,
ESKI,Azelaic Acid,Skinoren cream 30gm,TDER,Acne vulgaris.,Hypersensitivity to azelaic acid or any component of the formulation,Occasionally¡A local skin irritation.,30¢J¥H¤U,Acne vulgaris adult¡A apply BID. In the event of excessive skin irritation¡A reduce amount of cream/application or reduce application to once a day until irritation ceases or interrupt treatment temporarily for a few days.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,EXT;,,,,,
ESOFT,Framycetin + Lanoparaffin Gauz,Sofra-tulle 10x10,TDER,,I: Wounds¡A burns¡A ulcers and other infected skin conditions. AR: Possible ototoxicity ( open wounds¡A large areas¡A renal impairment on prolonged use ). CI: Known allergy to framycetin or where organisms are known to be resistant to framycetin.,,Room Temp,Apply the paraffin gauze dressing directly to the cleaned wound qd-bid.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
OMEDA,Dextromethorphan+Lysozyme+K Cresolsulfonate,Medicon-A 20/20/90mg,ERSP,,¾AÀ³¯g: Symptomatic relief of coughs caused by the common cold or inhaled irritants. °Æ§@¥Î: Central nervous system: Confusion¡A excitement¡A irritability¡A nervousness¡A serotonin syndrome. ¸T§Ò: Concurrent administration with or within 2 weeks of discontinuing an MAO inhibitor.,,«Ç·Å,Adult :10-20 mg ORALLY every 4hrs or 30 mg ORALLY every 6-8hrs maximum dose¡A 120 mg/day Pediatric : (6-12yrs) 5-10 mg ORALLY every 4hrs or 15 mg ORALLY every 6-8hrs; maximum dose: 60 mg/day (2-6yrs) 2.5-5 mg ORALLY every 4hrs or 7.5 mg ORALLY every 6-8hrs; maximum dose: 30 mg/day,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
OMEG,Magestrol,Megace 20mg,RACA,,,,,,,,,,,,,,,,,,,
OMEL,Thioridazine,Melleril 25mg,CNEU,,Anxiolytic & antidepressants; Neuroleptic.,,,Anxiolytic & antidepressants: Adult 10-75 mg daily. Childn 0.5-2 mg/kg body weight daily. Neuroleptic: Adult: 25-600 mg daily .Max:800mg daily. Childn: 1-4 mg/kg body weight daily.To be taken in divided doses.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
OMEL1,Thioridazine,Melleril 100mg,CNEU,,Anxiolytic & antidepressants; Neuroleptic.,,,Anxiolytic & antidepressants: Adult 10-75 mg daily. Childn 0.5-2 mg/kg body weight daily. Neuroleptic: Adult: 25-600 mg daily .Max:800mg daily. Childn: 1-4 mg/kg body weight daily.To be taken in divided doses.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
OSELA,Naproxen,Seladin 250mg,CNEU,RA¡A osteoarthritis¡A ankylosing spondylitis¡A acute gout¡A musculoskeletal disorders.,Hypersensitivity to aspirin or other NSAID¡A bleeding tendencies¡A peptic ulcer.,GI disturbances & bleeding¡A peptic ulceration. Headache¡A dizziness¡A nervousness¡A drowsiness; skin rash¡A blurred vision; hypersensitivity¡A hepatic & renal impairment¡A hematological reactions. Cardiovascular: Edema (3% to 9% ) Dermatologic: Pruritus (3% to 9% )¡A Rash (3% to 9% ) Gastrointestinal: Abdominal pain (3% to 9% )¡A Constipation (3% to 9% )¡A Diarrhea (1% to 10% )¡A Heartburn (3% to 9% )¡A Indigestion (1% to 10% )¡A Nausea (3% to 9% )¡A Stomatitis (less than 1% to 10% ) Neurologic: Dizziness (3% to 9% )¡A Headache (3% to 9% )¡A Lightheadedness (less than 3% )¡A Somnolence (3% to 9% )¡A Vertigo (less than 3% ) Otic: Tinnitus (3% to 9% ) Respiratory: Dyspnea (3% to 9% ),25¢J¥H¤UÁ×¥ú,250mg(1 Tablet) BID for adult. Adjust the dose according to the patient's clinical response.,µL»Ý½Õ¾ã¾¯¶q,¨x¥\¯à·l¶Ëªº¯f±w«ØÄ³±q³Ì§C¦³®Ä¾¯¶q¶}©l¨Ï¥Î,»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,Human data suggest risk in 1st and 3 rd trimesters,[20201124«DÃþ©T¾J®øª¢ÃÄ«~¦w¥þ¸ê°T­·ÀI·¾³qªí] Ãh¥¥20¶g¥H¤W¥¥°ü¨Ï¥ÎNSAIDs¥i¯à·|¾É­P­L¨àµÇ¥\¯à»ÙÃª¨Ã¾É­P¦Ï¤ô¹L¤Ö¡F §³®W30¶g¥H¤W¤§¥¥°ü¥i¯à¾É­P­L¨à°Ê¯ß¾ÉºÞ¹L¦­³¬¦Xªº­·ÀI¡C,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,PC;PO;,,,,,
OISOR,Isosorbide,Isordil 10mg (Sorbitrate),CAVS,,¾AÀ³¯g:¥D­n¹w¨¾¯U¤ß¯g¤§µo§@(B018987100) CI: Cardiogenic shock; circulatory collapse; severe hypotension; marked anemia; head trauma; cerebral hemorrhage; severe hypovolemia.,,RT,Oral: 2.5-10 mg tid-qid¡A ac,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
LOPV0,Oral Poliovirus Vaccine,Polio Sabin (¦Û¶O),HIMM,,¾AÀ³¯g: Active immunization against poliomyelitis. °Æ§@¥Î: Rarely¡A allergic & anaphylactic reactions & vaccine-associated poliomyelitis. ¸T§Ò: Immunosuppressed & immunodeficient patients; during acute feverish illnesses¡A hypersensitivity to neomycin. Vomiting & diarrhea. Debilitated states.,,§N­á,3 oral doses¡A (1 dose=2 drops). Separated by 2 months. Oral¡A 0.5 ml/dose. Primary immunization: 3 doses given at 8 wks intervals and a reinforcing 4th dose given 1 yr later. Booster dose: Given at 4-6 yrs.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
