"id","drug_code","engname","chiname","ingredients","type","shape","color","category","purpose","sideEffect","comment","photo","no_use","extra_buy","licenseNo3","licenseNo6","ATC_code","update_time","HazardousDrug",
"26","OAPR1","Apresoline 10mg","阿普立素寧10","Hydralazine","錠劑 Tablet","圓凸形 Round","黃 Yellow","CV-Cardiovascular System","高血壓，為周邊血管擴張劑
Hypertension","皮膚癢, 關節痛, 肌肉痛, 喉嚨痛, 發燒, 水腫
Skin rash or itching, joint pain, muscle pain, sore throat and fever, swelling.","警 語:可能有時會覺得頭暈、昏眩，請避免快速的動作或姿勢變化 Precaution: May cause dizzyor drowsy, not to change posture quickly.","Apresoline 10mg.jpg","Y","N","fda01","030879","C02DB02","2024-07-07 20:55:04","",
"27","OAPR5","Apresoline 50mg","阿普立素寧50","Hydralazine","錠劑 Tablet","圓凸形 Round","紅 Red","CV-Cardiovascular System","高血壓，為周邊血管擴張劑
Hypertension","皮膚癢, 關節痛, 肌肉痛, 喉嚨痛, 發燒, 水腫
Skin rash or itching, joint pain, muscle pain, sore throat and fever, swelling.","警  語:可能有時會覺得頭暈、昏眩，請避免快速的動作或姿勢變化
Precaution: May cause dizzyor drowsy, not to change posture quickly.","Apresoline50.JPG","Y","N","fda01","030743","C02DB02","2024-07-07 20:55:06","",
"29","OARIM","Arimidex 1mg","安美達錠","Anastrozole","錠劑 Tablet","圓扁形 Round","白 White","ON-Oncolytic Agents","抗腫瘤。治療停經後婦女晚期乳癌。其療效對於雌激素接受器陰性之病患尚未被證實，除非這些病患曾經對TAMOXIFEN有陽性反應。輔助治療停經後婦女且荷爾蒙接受器為陽性的早期侵犯性乳癌。輔助治療已使用tamoxifen 2-3年之停經後婦女且荷爾蒙接受器為陽性的早期乳癌。 
Advanced breast cancer in post-memopausal women","熱潮紅, 無力, 關節疼痛, 頭痛, 噁心
Hot flushes, asthenia, joint pain, headache, nausea.","警  語:本品為重症治療藥，請依照醫師指示使用
Take this medicine exactly as your doctor ordered","OARIM_20230111150206_1.jpg","N","N","fda02","022282","L02BG03","2023-01-11 15:02:06","二級危害性",
"30","OART2","Artane 2mg","阿丹","Trihexyphenidyl","錠劑 Tablet","圓扁形 Round","白 White","CN-Neuromuscular System","控制帕金森氏症
Anticholinergic agent","","警 語：服藥後，請勿開車或操作危險機械；勿飲酒
Precaution:Be careful driving or operating machines, avoid alcohol.","OART2.jpg","Y","N","","","","2024-07-07 20:55:08","",
"31","OASA","Asacol 400mg","阿腸克錠","Mesalazine","錠劑 Tablet","長方形 Rectangle","磚紅 Brick Red","GI-Gastrointestinal and Hepatobiliary System","治療潰瘍性結腸炎及其持續治療以防止復發。 
Treatment of colitis, Crohn&#039;s disease","噁心, 腹瀉, 腹痛, 頭痛
Nausea, diarrhea, abdominal pain, headache","警  語:應整粒吞服，切勿咬嚼或壓碎
Precaution: Swallow the tablet whole. Do not crush, break or chew it.","Asacol.JPG","Y","N","fda02","023232","A07EC02","2024-07-07 20:55:09","",
"32","OASV","Asverin 20mg","安嗽寧錠","Tipepidine","錠劑 Tablet","圓扁形 Round","淡黃 Light Yellow","RE-Respiratory System","止咳
Relief of cough","頭暈, 失眠, 胃腸不適
Dizziness, insomnia, GI disturbances","警 語:尿液可能變成紅色
Precaution:May discolor urine to red","OASV.jpg","Y","N","fda01","008907","R05DB24","2024-07-07 20:55:13","",
"34","OAUG1","Augmentin 1gm","安滅菌膜衣錠1公克","Amoxicillin + Clavulanic Acid","錠劑 Tablet","橢圓形 Elliptic","白 White","AI-Anti-infective Agents","治療細菌感染(葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症)
Antibiotic for infection.","輕微腹瀉, 頭痛, 胃痛, 腹脹, 寒顫
Diarrhea (mild), hedache, stomach pain, swelling of abdomen, chills.","請遵指示服完整個療程, 若發生用藥不良反應請告知醫生
Follow doctor&#039;s advice. Check with doctor if you notice any side effects.","OAUG1_20240927150644_1.jpg","Y","N","fda02","022612","J01CR02,J01CA04","2025-04-03 11:12:09","",
"36","OAVA","Avandia F.C. 4mg","梵帝雅錠","Rosiglitazone","錠劑 Tablet","五邊形 Pentagon","粉紅 Pink","ME-Metabolic and Endocrine System","第二型糖尿病
Treatment of type 2 diabetes","","警  語:長期投與應留意肝功能變化，若體重驟增或水腫應請教醫師
Precaution: Notify your doctor if you experience sudden weight gain, edema.","OAVA.jpg","Y","N","","","","2024-07-07 20:55:16","",
"38","OMAI","Maiyitong 500mcg","脈亦通膠囊","Methylcobalamin","硬膠囊 Hard Cap.","膠囊形 Capsule","深紅.粉紅 Red.Pink","CN-Neuromuscular System","末稍性神經障礙
Treatment of peripheral neuropathy","腸胃機能障礙, 食慾減退, 噁心, 腹瀉
GI dysfunction, loss of appetite, nausea, diarrhea","警 語:請遵照醫師指示使用, 若發生疑似藥物不良反應請告知醫生
本藥需避光儲存
Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects. 
Capsules should be protected from light","Maiyitong 500mcg.jpg","Y","N","fda01","029759","B03BA05","2024-07-07 20:57:05","",
"1653","IKEY1","Keytruda inj 100mg/4mL","吉舒達注射劑","Pembrolizumab","注射劑 Injection","小瓶 Vial","無 Colorless","ON-Oncolytic Agents","癌症治療。
Cancer treatment.","疲勞、高血糖、噁心、瘙癢、皮疹、食慾降低、便秘。
Fatigue, hyperglycemia, nausea, pruritus, rash, decreased appetite, constipation.","建議監測血糖值及注意是否出現高血糖徵兆或症狀。
Monitor closely for hyperglycemia and other signs/symptoms of diabetes.
貯放時需置於冰箱冷藏(攝氏 2-8 度)。
Store in a refrigerator (2-8°C).","IKEY1_202303090256360000004.jpg","N","Y","fda60","001025","L01XC18","2025-06-02 09:35:54","",
"41","OBAM","Bambec 10mg","幫肺克錠","Bambuterol","錠劑 Tablet","橢圓形 Elliptic","白 White","RE-Respiratory System","預防及治療支氣管痙攣
Treatment of bronchial asthma, chronic bronchitis","坐立不安, 神經質, 顫抖, 心跳加快, 臉潮紅
Restlessness; nervousness; tremors","警  語:糖尿病患初服本藥時，應注意血糖控制
Precaution: Diabetes patients should monitor blood sugar when starting use this drug.","OBAM.jpg","Y","N","fda02","020058","R03CC12","2013-07-28 17:13:54","",
"42","OBAS","Based 5mg","拔自平錠","Methimazole","錠劑 Tablet","圓扁形 Round","白 White","ME-Metabolic and Endocrine System","治療甲狀腺機能亢進 / Antithyroid agent","發燒, 皮膚紅疹或癢, 顆粒性白血球減少, 白血球減少
Fever; skin rash or itching;agranulocytosis; leukopenia","請遵照醫師指示使用, 若發生疑似藥物不良反應請告知醫生Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects.","BASED-OBAS.jpg","Y","N","fda01","008757","H03BB02","2024-07-07 20:11:14","",
"43","OBEC","Becantex S.C. 30mg","必咳停糖衣錠","Sodium Dibunate","錠劑 Tablet","圓凸形 Round","紅 Red","RE-Respiratory System","止咳。因感冒、咽炎、支氣管炎、喉炎及其他呼吸器官疾病所引起之咳嗽。
Cough suppressant","嗜睡
Somnolence","請遵照醫師指示使用, 若發生疑似藥物不良反應請告知醫生Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects.","OBEC.jpg","Y","N","fda01","035817","R05DB16","2024-07-07 20:11:25","",
"44","OBENS","Bensau 100mg","剎咳得軟膠囊","Benzonatate","軟膠囊 Soft Cap.","圓形 Round","淡黃 Light Yellow","RE-Respiratory System","止咳
Cough suppressant","眼睛灼熱感, 便秘, 頭暈, 嗜睡, 頭痛, 皮膚癢, 鼻塞
Burning sensation in the eyes, constipation, dizzy, sleepy, headache, itching, stiff nose","警  語:應整粒吞服，切勿咬嚼或壓碎 
Precaution: Swallow the tablet whole. Do not crush, break or chew it.","Bensau.JPG","Y","N","fda01","042435","R05DB01","2014-12-22 12:04:23","",
"46","OBCO","Betacom(B complex) 限自費","培他康糖衣錠","Vitamin B complex","錠劑 Tablet","圓凸形 Round","橙 Orange","NU-Nutrition","維他命B群
Treatment of vit B complex deficiencies","","服用本藥若引起尿液變色，是因藥品代謝所造成
Precaution: May discolor urine to bright yellow.","Betacom.jpg","Y","N","","","","2024-07-07 20:11:19","",
"48","OBIOC","Bio-Cal chewable","滋骨咀嚼錠","Tricalcium phosphate + Cholecalciferol","錠劑 Tablet","長方形 Rectangle","白 White","NU-Nutrition","補充鈣質
Calcium and Vitamin D supplements","高血鈣, 便秘
Hypercalcemia, constipation.","警  語:本品應嚼碎後吞服
Precaution: Chew thoroughly and swallow.","BioCal.JPG","Y","N","fda01","033090","A12AX","2024-07-07 20:55:23","",
"50","OBIO","Biogen","保爾健","Biodiastase + Vitamin B complex","錠劑 Tablet","圓扁形 Round","白 White","GI-Gastrointestinal and Hepatobiliary System","治療消化不良或消化障礙
Aid digestion.","","本品需置於避光陰涼乾燥處Precaution:Store at room temperature, away from heat, moisture, and direct light.","Biogen.JPG","Y","N","","","","2024-07-07 20:55:20","",
"52","OBLO","Blopress 8mg","博脈舒","Candesartan","錠劑 Tablet","圓扁形 Round","粉紅 Pink","CV-Cardiovascular System","心臟病、心衰竭、高血壓
Treatment of hypertension, heart failure &amp; heart disease.","暈眩, 頭痛, 呼吸道感染, 低血壓, 高血鉀
Dizziness/vertigo, headache, respiratory tract infection, hypotension, hyperkalemia","警語:請遵醫師指示按時用藥，勿自行改變劑量、用法或任意停藥
Precaution: Follow the doctor&#039;s advice, do not change your dose or schedule.","OBLO_202404241036120000001.jpg","N","N","fda02","023128","C09CA06","2024-04-24 10:36:12","",
"53","OBOK","Bokey 100mg","伯基腸溶膠囊","Acetylsalicylic Acid","硬膠囊 Hard Cap.","膠囊形 Capsule","橙.白 Orange.White","HE-Hematological Agents","為解熱鎮痛藥，可抑制血小板凝集 (預防心血管阻塞)
Prophylaxis of stroke &amp; analgesic, antipyretic","心灼熱或消化不良
Heartburn or indigestion","警  語:蠶豆症患者不得服用本藥
Precaution: Avoid in patients with G6PD deficiency.","OBOK_20240723122447_1.jpg","N","N","fda01","037344","B01AC06","2024-07-23 12:24:47","",
"405","OTAK","Takepron OD 30mg","泰克胃通口溶錠30毫克","Lansoprazole","錠劑 Tablet","圓扁形 Round","白 White","GI-Gastrointestinal and Hepatobiliary System","治療消化性潰瘍、逆流性食道炎、胃食道逆流。
Treats peptic ulcers, gastroesophageal reflux disease, and esophagitis.","腹痛、便秘、腹瀉、噁心、頭痛。
Abdominal pain, constipation, diarrhea, nausea, headache.","本藥易於口中崩散，可喝水或不喝水吞服。
Easily dissolves in the mouth, can be taken with or without water.
服藥期間若出現嚴重水瀉、腹痛或發燒等情形，應盡快回診就醫。
If severe diarrhea, abdominal pain, or fever occurs, seek medical help.
苯酮尿症患者應謹慎使用，每顆錠劑含有3毫克阿斯巴甜。
Caution for phenylketonuria patients; each tablet contains 3mg aspartame.","OTAK_20240723121826_1.jpg","N","N","fda02","024273","A02BC03","2024-07-23 12:18:26","",
"55","OBONE","Bonefos 400mg","骨復舒膠囊","Clodronate","硬膠囊 Hard Cap.","膠囊形 Capsule","橙 Orange","ME-Metabolic and Endocrine System","惡性腫瘤引起之高血鈣或骨溶解Inhibit osteoclast-mediated bone resorption","輕微的腸胃刺激, 低血鈣
Mild GI irritation,  hypocalcemia","警  語:請避免與中和胃酸用的藥 (一般胃藥) 併服，以確保療效。 維持適量的水分攝取。 Precaution: Avoid taking with antacid. Maintain adequate fluid intake","OBONE.jpg","Y","Y","fda02","021808","M05BA02","2023-10-02 16:52:32","",
"56","OBUW","Buwecon 0.125mg","薪保賜康錠","Hyoscyamine","錠劑 Tablet","圓扁形 Round","白 White","GI-Gastrointestinal and Hepatobiliary System","緩解消化道、泌尿道痙攣
antispasmodics of smooth muscle","口乾, 尿液滯留, 複視, 心悸
Dry mouth, urinary hesitancy &amp; retention, blurred vision, tachycardia","本品可能會降低您的注意力、警覺性及動作協調能力Precaution: May cause dizziness, weakness, incoordination","OBUW.jpg","Y","N","fda01","044317","A03BA03","2024-07-07 20:55:34","",
"57","OCAF","Cafergot 1/100mg","加非葛錠","Ergotamine tartrate + Caffeine","錠劑 Tablet","圓扁形 Round","淡黃 Light Yellow","CN-Neuromuscular System","緩解偏頭痛
treatment of migraine","","必要時，每半小時1粒。每次發作最多6粒，每週最多10粒。
Precaution:Take at 30 min intervals if necessary, do not exceed 6 tab/day or 10 tab/week.","OCAF.jpg","Y","N","","","","2024-07-07 20:55:35","",
"58","OCAL","Caltrate chewable 28&#039;s","挺立鈣片","Calcium Carbonate + Vit D3","錠劑 Tablet","長方形 Rectangle","淡橙 Light Orange","NU-Nutrition","補充鈣質，預防鈣質缺乏症如僂病、牙齒損壞及骨質疏鬆病 
calcium supplements.","噁心, 嘔吐
Nausea; vomiting","警  語:本品應嚼碎後吞服Precaution: Chew thoroughly and swallow.","OCAL.jpg","Y","N","fda01","031828","A12AX,A12AA04,A11CC05","2024-08-11 15:56:40","",
"59","OCAR","Carbomix 61.5gm","蓋抹滅","Activated Charcoal","粉 Powder","罐(瓶)裝 Bot","黑 Black","AD-Antidotes","為活性碳，解毒之用
GI adsorbent","腹瀉或便秘
Diarrhea or constipation.","警 語:請配合充分開水服用, 並增加水分的攝取。服用本品可能造成黑便
Precaution: Drink plenty of fluids while you are using the medicine. May cause black stools.","Carbomix-OCAR.jpg","N","N","fda02","021549","A07BA01","2024-07-07 20:12:34","",
"61","OCAS","Casodex 50mg","可蘇多錠","Bicalutamide","錠劑 Tablet","圓扁形 Round","白 White","ON-Oncolytic Agents","攝護腺癌 (與LHRH類似劑療法或手術去勢療法併用於進展性攝護腺癌)
Treatment of prostate cancer.","熱潮紅, 搔癢, 腹瀉, 噁心, 嘔吐, 無力, 皮膚乾燥, 乳房脹痛
Hot flushes, pruritus, diarrhea, nausea, vomiting, asthenia, dry skin, breast tenderness","本品請勿用於女性及兒童Precaution: Avoid in pregnancy and children.","OCAS_Casodex 50mg 2013.JPG","N","N","fda02","022803","L02BB03","2023-09-08 09:53:09","二級危害性",
"373","OHEPS","Hepsera 10mg","干適能錠","Adefovir Dipivoxil","錠劑 Tablet","圓扁形 Round","白 White","AI-Anti-infective Agents","B型肝炎
Treatment of hepatitis B infection.","","警  語:長期服藥與腎功能不全的患者應密切監測腎功能
Precaution: Monitor the renal function for long-term use.","Hepsera-OHEPS.JPG.jpg","Y","N","","","","2024-07-07 20:18:13","",
"63","OCEF1","Cefspan 100mg","速復適康膠囊","Cefixime","硬膠囊 Hard Cap.","膠囊形 Capsule","橙 Orange","AI-Anti-infective Agents","治療細菌感染。由cefixime感受性菌引起之下述感染症，支氣管炎、支氣管擴張症（感染時），慢性呼吸系疾病的繼發性感染、肺炎、腎盂腎炎、膀胱炎、細菌性尿道炎。中耳炎、副鼻竇炎。 
Antibiotic for infection.","腹瀉, 噁心, 胃部不適
Diarrhea, headache, stomach cramps","警  語:請遵指示服完整個療程，若發生用藥不良反應請告知醫生Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects.","OCEF1.jpg","Y","N","fda01","033225","J01DD08","2024-07-07 20:45:50","",
"65","OCEL","Celance 0.05mg","協良行錠","Pergolide","錠劑 Tablet","長方形 Rectangle","淡黃 Light Yellow","CN-Neuromuscular System","控制週期性肢體顫動、腦神經激素調整等
Adjunctive therapy of Parkinson&#039;s disease","","警  語:部分人使用後可能引起疲倦、睏睡的現象Precaution: May cause fatigue, sleepiness","celance.jpg","Y","N","","","","2024-07-07 20:55:42","",
"66","OCEL2","Celebrex 200mg","希樂葆膠囊200毫克","Celecoxib","硬膠囊 Hard Cap.","膠囊形 Capsule","白(黃) White(Yellow)","CN-Neuromuscular System","骨關節炎、類風濕性關節炎
Relief of pain, inflammation, and fever.","咳嗽、發燒、皮膚紅疹、打噴嚏、喉嚨痛、臉或四肢浮腫
Cough, fever, skin rash, sneezing, sore throat, swelling of face/hands/legs","警  語:有胃潰瘍病史請先告知醫生並於飯後服用。接受任何手術或拔牙前, 請告知醫師正在服用本藥Precaution: Notify your doctor if you have stomach ulcer. Inform if you are taking this medication prior to any surgery (including dental)","OCEL2_202408231200530000007.jpg","N","N","fda02","023177","M01AH01","2024-08-23 12:01:27","",
