____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
ESER1,Salmeterol + Fluticasone,SERETIDE 125 EVOHALER,ERSP,Regular treatment of reversible obstructive airways disease (ROAD)_ including asthma in adult & children_ where combination therapy (bronchodilator & inhaled corticosteroid) is appropriate. Seretide Accuhaler 250/Seretide Evohaler 125/Seretide Evohaler 250 Maintenance treatment of COPD including chronic bronchitis & emphysema.,History of hypersensitivity to any of the ingredients of Seretide.,Hoarseness or dysphonia_ throat irritation_ headache_ candidiasis of mouth & throat_ palpitations_ tremor_ paradoxical bronchospasm_ arthralgia. Gastrointestinal: Nausea (COPD_ above 5% )_ Oral candidiasis (asthma_ 1% to 4%; COPD_ 10% ) Musculoskeletal: Musculoskeletal pain (asthma_ 2% to 7%; COPD_ 9% ) Neurologic: Dizziness (asthma_ 1% to 4%; COPD_ 4% and greater )_ Headache (9% to 21% ) Respiratory: Bronchitis (asthma_ 2% to 8% )_ Cough (asthma_ 3% to 6% )_ Difficulty speaking_ Hoarse_ Pharyngitis (asthma_ 10% to 13% )_ Throat irritation (7% to 9% )_ Upper respiratory infection (asthma_ 16% to 27%; COPD_ greater than 5% )_ Viral lower respiratory infection (3% to 6% ),____30___,Asthma: Adults and adolescents 12 years and older: Two inhalations of 25 mcg salmeterol and 125 mcg fluticasone propionate twice daily. or Two inhalations of 25 mcg salmeterol and 250 mcg fluticasone propionate twice daily. Children 4 years and older: 2 inhalation of 25 mcg salmeterol and 50 mcg fluticasone propionate twice daily. There are no recommended doses available in children aged under 4 years. Chronic Obstructive Pulmonary Disease (COPD): For adult patients the recommended dose is 2 inhalation 50/250 micrograms to 50/500 micrograms salmeterol/fluticasone propionate twice daily.,______,,______,_______,No (limited) human data – probably compatible,SALMETEROL PREGNANCY RECOMMENDATION: Limited Human Data—Probably Compatible FLUTICASONE PREGNANCY RECOMMENDATION: Compatible,No (Limited) Human Data - Probably Compatible _(__)__ - ___,SALMETEROL BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible FLUTICASONE BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible,IH;INHL;,,,,,
IRECB,Epoetin beta,Recormon inj 2000IU(_____),HEMT,Treatment of symptomatic anemia in patients with chronic renal failure. Treatment of symptomatic anemia associated with cancer chemotherapy. Treatment of symptomatic anemia in adult patients undergoing anti-tumor therapy for multiple myeloma_ low-grade non-Hodgkin’s lymphoma_ or chronic lymphocytic leukemia.,Erythropoiesis-stimulating agents should not be used in patients receiving myelosuppressive therapy when the expected outcome is curative. For anemia caused by chronic renal failure_ it should not be used in infants (i.e._ children under 2 years of age). Patients with known hypersensitivity to the active ingredient or any excipient of this product. Patients with uncontrolled hypertension.,Increased BP_ increased platelet count_ encephalopathy-like symptoms_ thromboembolic event_ rash_ pruritus_ urticaria or inj site reactions.,2-8___,Anaemia with CRF: (Initially)SC_ 3 x 20 IU/kg/week _ if the increase of hemoglobin level is inadequate (<0.25g/dL per week)_ may be increased every 4 week by 3 x 20 IU/kg/week; IV_ 3 x 40 IU/kg_ may up to 80 IU/kg after 4 weeks_ 3 times a week. (Maintenance) Half of initial dose_ depend on individuals. Symptomatic anemia in patients with tumors/Multiple myeloma/Low grade non-Hodgkin’s lymphoma/Chronic lymphocytic leukemia: Initial dose of 450 IU/kg/week_ may up to 900 IU/kg/week.,______,,______,____,Uknown ____,EPOETIN ALFA: Compatible—Maternal Benefit >> Embryo–Fetal Risk _____ _________________/________________________ _epoetin beta______________________________________ ____________________________________/________ ____________________________ ________________________________,Unknown ____,EPOETIN ALFA: Compatible _____ ___________________________________________ ________________________________epoetin beta______ ______________________________epoetin beta______,IVD;IVPUSH;SC;,,,_______________________________-_________,_____________________________________-_________,1.___________________________ 2.________________________________________________________________-_________
IRIF,Rifamycin SV,Rifocin inj 500mg/10mL,QANB,,,,,,,,,,,,,,,,,,,
EASA,Mesalazine,Asacol 500mg suppository,ALIM,Treatment of mildly to moderately active ulcerative proctitis_ colitis_ or proctosigmoiditis.,Patients with known or suspected hypersensitivity to salicylates or aminosalicylates or to any ingredients in the suppository vehicle. Severe renal impairment: eGFR<30mL/min/1.73m2. Severe liver impairment. Age <2 years.,Common Dermatologic: Rash (Up to 6% ; pediatrics_ 5% ) Gastrointestinal: Abdominal pain (Adult_ 2.2% to 18% ; pediatrics 5% or more )_ Burping (16% )_ Diarrhea (Adults_ up to 8% ; pediatrics_ 5% )_ Nausea (Up to 4% )_ Vomiting (Less than 1% to 5% ; pediatric_ 5% or more ) Musculoskeletal: Arthralgia (Less than 3% to greater than 5% ) Neurologic: Asthenia (Less than 1% to greater than 5% )_ Headache (Adults_ 2.9% to 14% ; pediatrics_ 5% or more ) Respiratory: Nasopharyngitis (Adults_ 1.4% to 4% ; pediatrics_ 15% )_ Rhinitis (5% or more ) Other: Pain (Up to 14% ) Serious Cardiovascular: Myocarditis_ Pericarditis Dermatologic: Generalized exanthematous pustulosis_ acute_ Stevens-Johnson syndrome_ Toxic epidermal necrolysis Gastrointestinal: Exacerbation of ulcerative colitis (Pediatrics_ 12% )_ Gastrointestinal hemorrhage (2% or greater )_ Pancreatitis (Less than 1% )_ Rectal hemorrhage (Less than 3% to 2% or greater.) Hematologic: Agranulocytosis_ Aplastic anemia_ Leukopenia_ Neutropenia_ Pancytopenia_ Thrombocytopenia (Less than 1% ) Hepatic: Cholestatic hepatitis (Less than 3% )_ Hepatotoxicity_ Liver failure_ Sclerosing cholangitis Immunologic: Anaphylaxis_ Angioedema_ Drug reaction with eosinophilia and systemic symptoms_ Edema of face (Less than 1% )_ Hypersensitivity reaction Renal: Renal impairment Other: Infectious disease_ Intolerance to drug_ Syndrome,____(15-25_)_,1-2 suppository TID_ after a bowel movement. The dose depends on the response.,______,[__] ___________________mesalazine_____________________________,______,____,Compatible,MESALAMINE: Compatible [__] Mesalazine______________________(627_)_________ _____/___________________________________ ______________2-4 g_ ____mesalazine_____________ _Mesalazine______________/_______________ _____________mesalazine_______________________ _______,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,MESALAMINE: Limited Human Data—Potential Toxicity [__] N-acetyl-5-aminosalicylic acid___mesalazine________________ ___________________________________ ______mesalazine__________________ ___________________________,R;RECT;,,,,,1. _______(15-25_)__ 2. _______________________.
ODEL,Dexchlorpheniramine,Delamin 2mg,HIMM,Relieves symptoms associated with allergic rhinitis and hay fever (such as runny nose_ sneezing_ itchy eyes_ and throat)_ as well as itching and skin rashes caused by allergies.,Individuals who have previously experienced an allergic reaction to this medication should not use it. This medication should not be taken with alcoholic beverages.,Drowsiness_ dizziness; dry mouth. GIT disturbances. Hypotension_ muscular weakness_ tinnitus_ euphoria_ headache. CNS stimulation. Allergic reaction. Blood disorders.,25___,Adult: 1 TAB. TID-QID. Children : 6-12 years 1/2 TAB. 3-6 years 1/4 TAB. TID-QID.,______,There are no dosage adjustments provided in the manufacturer’s labeling.,______,____,Compatible,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,AC;AC15;PC;PO;WM;,,,,,
OBCO,Vitamin B complex,Betacom(B complex) ___,NUTR,,___: Prevention & treatment of vit B deficiency.,,__,Adult 2-3 tab daily_ children 8-12 years 1 tab daily_ 5-7 years 1/2 tab daily.,,,,__,,,Compatible ______,,,,,,,
YGLU,Glucosamine 150m,______300'S,NUTR,,,,,,,,,,,,,,,,,,,
OCELA,Pergolide,CELANCE 0.25mg,CNEU,,___:__________________(B019552100),,,Initially 0.05 mg daily for the first 2 days_ gradually increased by 0.1 or 0.15 mg daily every 3rd day over the next 12 days . Then increase by 0.25 mg daily every 3rd day until optimal response. Max: 5 mg daily. Usually administered in divided dose 3 times/day. Dosage of concurrent l-dopa/carbidopa may be cautiously decreased during dosage titration.,,,,____,,,,,,,,,,
OLOD,Zotepine,Lodopin 25mg,CNEU,,___: Schizophrenia. ___: Sleepiness_ weakness_ malaise_ insomnia_ thirst_ constipation_ dizziness. __:Patients with coma or circulatory collapse_ patients on epinephrine_ hypersensitivity to phenothiazines_ suspected subcortical lesions (eg encephalitis_ cerebral tumor & sequelae of brain trauma).,,__,Adult: 75-150 mg daily in divided doses_ up to 450 mg/day,,,,____,,,,,,,,,,
INOV3,Insulin Aspart 30 + NPH 70,Novomix 30 penfill 3mL,META,,___:Treatment of patients with diabetes mellitus. ___:Hypoglycaemia_ edema_ refraction anomalies_ hypersensitivity reactions_ lipodystrophy __:Hypoglycaemia.,,2-8_,Individualised dosage. Administered by SC inj. Penfill should be used with NovoPen 4 & NovoFine Needles,,,,____,,,Compatible ______,,,,,,,
OFOX,Flavoxate,FOXate 200 mg,SGU,,___: Symptomatic relief of prostatitis_ urinary frequency. ___: GI disturbances; hypersensitivity reactions; headache_ sedation_ vertigo_ confusion; intraocular pressure. Rarely_ leukopenia. __: GI hemorrhage; obstructive uropathies of the lower urinary tract. Children <12 years. Pyloric or duodenal obstruction_ obstructive intestinal lesions of ileus.,,__,Adult:1 tab tid.,,,,____,,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,,,,,,
IFIB,Sodium Tetradecyl Sulphate,FIBRO-VEIN inj 3%_ 5mL,ZOTH,,,,,,,,,,,,,,,,,,,
IPUR3,Follitropin beta,PUREGON cartridge 300IU,HM,,___:Treatment of female infertility due to anovulation in women who have been unresponsive to treatment with clomiphene citrate. Controlled ovarian hyperstimulation to induce the development of multiple follicles in medically assisted reproduction programs. ___:Ovarian hyperstimulation_ bruising_ pain_ redness_ swelling & itching_ ectopic pregnancy_ multiple gestations_ arterio-thromboembolisms. __:Ovarian_ breast_ uterine_ pituitary or hypothalamic tumours. Pregnancy or lactation. Undiagnosed vag bleeding. Primary ovarian failure. Ovarian cysts or enlarged ovaries_ not related to polycystic ovarian disease (PCOD). Sexual organ malformations incompatible with pregnancy. Uterine fibroid tumours incompatible with pregnancy.,,2 ~ 8 °C,Anovulation 50 iu daily_ maintained for at least 7 days. Controlled ovarian hyperstimulation in medically assisted reproduction programs Starting dose of 100-225 iu for at least the 1st 4 days,______,,______,____,Uknown ____,,Unknown ____,,SC;,,,,,1. ___________________
IDEX,Low Molecular Dextran Dextrose,Dextran (_____) inj 500mL,HEMT,As plasma expander in haemorrhage.,(1) Patients with hypotonic dehydration. (2) Patients with congestive heart failure.,GI disturbances; headache_ dizziness; allergic reactions; raised liver enzyme values; alopecia; bone marrow suppression.,30___,Normally IV 500mL one time. IV 20 mL/kg on the first 24 hours. For treatment or prevention of thrombosis_ 10mL/kg daily in 5 days.,______,Use with extreme caution.,______,____,Uknown ____,,Unknown ____,,IVD;,,,,____:20~40mL/mins_Max:20mL/kg/day,1._______ 2.Max:20mL/kg/day
EGENO,Gentamicin,Gentamicin ___ 0.3%_ 5gm,TOPH,,___: Treatment of ocular infections due to susceptible organisms. ___: Rarely_ transient stinging. __: Hypersensitivity.,,__,Apply bid-tid to the affected eye(s).,______,,______,_______,,,Compatible ______,,,,,,,
EGEN,Gentamicin,Gentamycin OPH sol 0.3%_ 3mL,TOPH,,___: Bacterial inflammations of conjunctiva_ cornea_ lid margin & lacrimal sac; styes_ corneal ulcers_ corneal infections. ___: Irritation_ pain_ stinging & burning.,,__,1-2 drop 3-8 times daily.,,,,_______,,,Compatible ______,,,,,,,
IGW250A,Dextrose,___ Dextrose 5% inj 250mL,MSIV,Treatment of carbohydrate and fluid depletion.,Hypersensitivity to any component of the formulation.,Hyperglycemia.,,______,______,,______,____,Uknown ____,,Unknown ____,,IVD;,,,,,
ETOPC,Fluocinonide,Topsym __5gm (__),TDER,,___: Eczema; dermatitis; psoriasis; vitiligo; alopecia; pustulosis; prurigo. ___: Burning_ itching_ irritation_ dryness; perioral dermatitis; allergic contact dermatitis; skin atrophy. __: Vaccinia & varicella.,,__,Apply once-tid.,,,,____,,,,,,,,,,
OAVA2,Rosiglitazone + Metformin,AvandaMet 2mg/500mg,META,,___: Type 2 DM. ___:Upper resp tract infection_ headache_ back pain_ hyperglycemia_ fatigue_ sinusitis_ diarrhea_ viral infection_ arthralgia. Anaemia. Rosiglitazone: Hypoglycaemia_ oedema_ anaemia_ hypercholesterolaemia_ dose-related wt gain_ CHF_ pulmonary oedema_ pleural effusions. Metformin: Nausea_ vomiting_ diarrhoea_ abdominal pain_ loss of appetite_ metallic taste. Cardiovascular: Edema (6% to 25% ) Endocrine metabolic: Hypoglycemia (12% ) Gastrointestinal: Diarrhea (12.7% to 14%) Hematologic: Anemia (4% to 7.1% ) __: ketoacidosis or pre-coma_ renal failure. _____(99.10.14) 1.______(rosiglitazone)_____________ 2._________________ 3._______3___4_(NYHA Class III or IV cardiac status )__,,__,starting does : 2/ 500 mg daily. max daily dose: 8 / 2000 mg.,,,,_______,,,,,,,,,,
ETRI,Fluocinolone + Hydroquinone + Tretinoin,TRI-LUMA cream 15gm,TDER,,___: Short-term treatment of moderate to severe melasma of the face_ in the presence of measures for sun avoidance_ including the use of sunscreens. ___: Erythema_ desquamation_ burning_ dryness & pruritus at the site of application. __: Individuals with a history of hypersensitivity_ allergy_ or intolerance to Tri-Luma or any of its components.,,__,Apply a thin film of cream to hyperpigmented areas of melasma including about 0.5 inch of normal appearing skin surrounding each lesion. Rub lightly & uniformly into the skin. Apply once daily at night 30 minutes before bedtime.,,,,____,,,,,,,,,,
OSES,Timepidium,Sesden 30mg,ALIM,,___: Pain associated with smooth muscle spasm eg. gastritis_ peptic ulcer_ enteritis_ gallbladder & bile-duct diseases; lithangiuria_ pancreatitis. ___: Rarely shock; photophobia_ visual disturbances; headache_ dizziness_ lightheadedness_ drowsiness; dry mouth_ nausea_ vomiting_ constipation_ anorexia_ abdominal distention; palpitation_ tachycardia; hypersensitivity reactions; difficulty in micturition_ dysuria; flushing & lassitude. __: Glaucoma; dysuria; severe cardiac disease; paralytic ileus.,,__,30 mg tid.,,,,____,,,,,,,,,,
IGS5A,Dextrose + Sodium Chloride,___ Dextrose 5% in NaCl 0.9% inj 500mL,MSIV,,,,,,,,,,,,,,IVD;,,,,,
OARC,Etoricoxib,Arcoxia 60mg,CNEU,Acute and chronic treatment of osteoarthritis (OA) and rheumatoid arthritis (RA)_ treatment of acute gouty arthritis_ treatment of primary dysmenorrhea_ treatment of pain after dental surgery_ treatment of pain after gynecological surgery.,Allergy to any component of this product. Congestive heart failure (NYHA II-IV). Known ischemic heart disease_ peripheral artery disease_ and/or cerebrovascular disease (including recent coronary artery bypass grafting or vascular repair surgery). This medication is contraindicated within 14 days following coronary artery bypass grafting (CABG). Patients with hypertension persistently above 140/90 mmHg that cannot be effectively controlled.,Weakness/fatigue_ dizziness_ headache_ drowsiness_ anxiety_ insomnia_ mental confusion_ hallucinations_ depression_ restlessness_ blurred vision_ taste disturbances_ intracranial hemorrhage_ chest tightness_ palpitations_ angina_ arrhythmia_ congestive heart failure_ hypertension_ peripheral edema_ hyperkalemia_ flushing_ deep vein thrombosis_ bronchospasm_ pulmonary embolism_ shortness of breath_ indigestion_ heartburn_ nausea_ abdominal pain_ vomiting_ diarrhea_ mouth ulcers_ gastric ulcers including perforation and bleeding_ hepatitis_ jaundice_ liver failure_ elevated ALT_ elevated AST_ renal impairment including renal failure_ thrombocytopenia_ angioedema_ itching_ erythema_ rash_ urticaria_ fixed drug eruptions_ Stevens-Johnson syndrome_ toxic epidermal necrolysis_ allergic reactions_ anaphylactic/anaphylactoid reactions (including shock).,30___,Take with or without food. As the dose and duration of COX-2 selective inhibitor use increase_ the cardiovascular risk may increase. Treatment should be done with the lowest effective daily dose for the shortest time possible. Osteoarthritis: 30 mg or 60 mg QD; max 60 mg QD. Rheumatoid arthritis: 60 mg or 90 mg QD. The lowest effective daily dose is 60 mg; max 90 mg QD. Ankylosing spondylitis: 60 mg or 90 mg QD. The lowest effective daily dose is 60 mg; max 90 mg QD. Acute gouty arthritis: 120 mg QD. Acute symptomatic period: 120 mg <= 8 days. Primary dysmenorrhea: 120 mg QD. Acute symptomatic period: 120 mg <= 8 days. Dental postoperative pain: 90 mg QD; max 90 mg QD for 3 days. Gynecological postoperative pain: 90 mg QD. The initial dose should be given before surgery; max 120 mg QD for 5 days.,_____,_______(Child-Pugh 5-6)___________60___ _______(Child-Pugh 7-9)___________60___ _______(Child-Pugh >9)_______________________,______,____,Uknown ____,[__] __30 ________________ (NSAIDs)_____________________________20 _________________ (NSAIDs)____________ (fetal renal dysfunction)_____ (oligohydramnios)__________ (renal impairment)__________________20 _30 _______________________________________48 ________________________ ___20______NSAIDs________________________(____)___________________________________NSAID_______________________________NSAID_48__________(_______)__________________________________________________________________________________20________ARCOXIA_____________ARCOXIA_____________,Unknown ____,[__] Etoricoxib ___________________________________ ____________________________________________________________________________________,AC;AC15;PC;PO;WM;,,,,,
