藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
ESER1,Salmeterol + Fluticasone,SERETIDE 125 EVOHALER,ERSP,Regular treatment of reversible obstructive airways disease (ROAD)， including asthma in adult & children， where combination therapy (bronchodilator & inhaled corticosteroid) is appropriate. Seretide Accuhaler 250/Seretide Evohaler 125/Seretide Evohaler 250 Maintenance treatment of COPD including chronic bronchitis & emphysema.,History of hypersensitivity to any of the ingredients of Seretide.,Hoarseness or dysphonia， throat irritation， headache， candidiasis of mouth & throat， palpitations， tremor， paradoxical bronchospasm， arthralgia. Gastrointestinal: Nausea (COPD， above 5% )， Oral candidiasis (asthma， 1% to 4%; COPD， 10% ) Musculoskeletal: Musculoskeletal pain (asthma， 2% to 7%; COPD， 9% ) Neurologic: Dizziness (asthma， 1% to 4%; COPD， 4% and greater )， Headache (9% to 21% ) Respiratory: Bronchitis (asthma， 2% to 8% )， Cough (asthma， 3% to 6% )， Difficulty speaking， Hoarse， Pharyngitis (asthma， 10% to 13% )， Throat irritation (7% to 9% )， Upper respiratory infection (asthma， 16% to 27%; COPD， greater than 5% )， Viral lower respiratory infection (3% to 6% ),乾燥避曬30℃以下,Asthma: Adults and adolescents 12 years and older: Two inhalations of 25 mcg salmeterol and 125 mcg fluticasone propionate twice daily. or Two inhalations of 25 mcg salmeterol and 250 mcg fluticasone propionate twice daily. Children 4 years and older: 2 inhalation of 25 mcg salmeterol and 50 mcg fluticasone propionate twice daily. There are no recommended doses available in children aged under 4 years. Chronic Obstructive Pulmonary Disease (COPD): For adult patients the recommended dose is 2 inhalation 50/250 micrograms to 50/500 micrograms salmeterol/fluticasone propionate twice daily.,無需調整劑量,,無需調整劑量,除非治療上需要,No (limited) human data – probably compatible,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,IH;INHL;,,,,,
IRECB,Epoetin beta,Recormon inj 2000IU(限洗腎室用),HEMT,Treatment of anaemia associated w/ chronic renal failure (CRF) in patients on dialysis; treatment of symptomatic renal anaemia in patient not yet undergoing dialysis. Treatment of symptomatic anaemia in adult patients w/ non-myeloid malignancies receving chemotherapy. Increasing the yield of autologous blood from patients in pre-donation programmes. Prevention of anaemia in premature infant (<34 wk; 750-1，500 g birth wt).,Hypersensitivity. Poorly controlled HTN. Patients， who in the mth preceding treatment， have suffered a MI or stroke. Unstable angina pectoris. Patients at risk of DVT.,Increased BP， increased platelet count， encephalopathy-like symptoms， thromboembolic event， rash， pruritus， urticaria or inj site reactions.,2-8℃避光,Anaemia with CRF: (Initially)SC， 3 x 20 IU/kg/week ， if the increase of hemoglobin level is inadequate (<0.25g/dL per week)， may be increased every 4 week by 3 x 20 IU/kg/week; IV， 3 x 40 IU/kg， may up to 80 IU/kg after 4 weeks， 3 times a week. (Maintenance) Half of initial dose， depend on individuals. Symptomatic anemia in patients with tumors/Multiple myeloma/Low grade non-Hodgkin’s lymphoma/Chronic lymphocytic leukemia: Initial dose of 450 IU/kg/week， may up to 900 IU/kg/week.,無需調整劑量,仿單資料： 在人類授乳期間使用本品目前僅有有限的經驗。內源性紅血球生成素會分泌進入人類的乳汁，並且 很容易為新生兒的胃腸道所吸收。應衡量餵哺母乳對兒童的效益以及使用epoetin beta治療對婦女的 效益，再做出是否要繼續或停止餵哺母乳，或是否要繼續或停止使用epoetin beta治療之決定。,無需調整劑量,沒有資料,No (limited) human data – animal data suggest low risk,仿單資料： 動物研究並未顯示本品會對懷孕、胚胎/胎兒發育、分娩或出生後發育造成直接或間接的傷害。 就epoetin beta而言，在懷孕期間接觸到容可曼有關的所有安全性資料，都是源自上市後的使用經驗。 在一項針對現有之上市後資料所進行的探討中，並未發現任何證據顯示懷孕、胚胎/胎兒發育或出生後 發育方面的傷害作用和使用容可曼治療之間有因果上的關聯性。 不過，由於缺乏臨床研究的資料，對懷孕婦女處方本品時仍應謹慎從事。,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,仿單資料： 在人類授乳期間使用本品目前僅有有限的經驗。內源性紅血球生成素會分泌進入人類的乳汁，並且 很容易為新生兒的胃腸道所吸收。應衡量餵哺母乳對兒童的效益以及使用epoetin beta治療對婦女的 效益，再做出是否要繼續或停止餵哺母乳，或是否要繼續或停止使用epoetin beta治療之決定。,IVD;IVP;IVPUSH;SC;,,,注射藥劑的時間要大於兩分鐘，血液透析病人可以在洗腎結束時經由動-靜脈婁管進行注射。,靜脈注射時，注射藥劑的時間要大於兩分鐘，血液透析病人可以在洗腎結束時經由動-靜脈婁管進行注射。,1.在沒有相容性研究的情況下，本品不可與其它藥物混合使用。 2.配製好溶液可以經由皮下或是靜脈注射使用。當使用靜脈注射時，注射藥劑的時間要大於兩分鐘，譬如說，血液透析病人可以在洗腎結束時經由動-靜脈婁管進行注射。
IRIF,Rifamycin SV,Rifocin inj 500mg/10mL,QANB,,,,,,,,,,,,,,,,,,,
EASA,Mesalazine,Asacol 500mg suppository,ALIM,Treatment of mildly to moderately active ulcerative proctitis， colitis， or proctosigmoiditis.,Patients with known or suspected hypersensitivity to salicylates or aminosalicylates or to any ingredients in the suppository vehicle. Severe renal impairment: eGFR<30mL/min/1.73m2. Severe liver impairment. Age <2 years.,Common Dermatologic: Rash (Up to 6% ; pediatrics， 5% ) Gastrointestinal: Abdominal pain (Adult， 2.2% to 18% ; pediatrics 5% or more )， Burping (16% )， Diarrhea (Adults， up to 8% ; pediatrics， 5% )， Nausea (Up to 4% )， Vomiting (Less than 1% to 5% ; pediatric， 5% or more ) Musculoskeletal: Arthralgia (Less than 3% to greater than 5% ) Neurologic: Asthenia (Less than 1% to greater than 5% )， Headache (Adults， 2.9% to 14% ; pediatrics， 5% or more ) Respiratory: Nasopharyngitis (Adults， 1.4% to 4% ; pediatrics， 15% )， Rhinitis (5% or more ) Other: Pain (Up to 14% ) Serious Cardiovascular: Myocarditis， Pericarditis Dermatologic: Generalized exanthematous pustulosis， acute， Stevens-Johnson syndrome， Toxic epidermal necrolysis Gastrointestinal: Exacerbation of ulcerative colitis (Pediatrics， 12% )， Gastrointestinal hemorrhage (2% or greater )， Pancreatitis (Less than 1% )， Rectal hemorrhage (Less than 3% to 2% or greater.) Hematologic: Agranulocytosis， Aplastic anemia， Leukopenia， Neutropenia， Pancytopenia， Thrombocytopenia (Less than 1% ) Hepatic: Cholestatic hepatitis (Less than 3% )， Hepatotoxicity， Liver failure， Sclerosing cholangitis Immunologic: Anaphylaxis， Angioedema， Drug reaction with eosinophilia and systemic symptoms， Edema of face (Less than 1% )， Hypersensitivity reaction Renal: Renal impairment Other: Infectious disease， Intolerance to drug， Syndrome,乾燥陰涼(15-25℃)處,1-2 suppository TID， after a bowel movement. The dose depends on the response.,需調整劑量,[仿單]N-acetyl-5-aminosalicylic acid及少量Mesalazine被排至乳汁，雖其臨床意義不確定。 迄今為止哺乳之相關研究有限。嬰幼兒無法排除之過敏反應，如:腹瀉。 因此，哺乳期間使用Mesalazine應判斷治療需要性大於可能發生之風險。 假如病人在治療期間出現嬰幼兒腹瀉症狀，應立即停止哺乳。,需調整劑量,沒有資料,Human data suggest low risk,[仿單]Mesalazine用於懷孕婦女之臨床研究非常有限。 有限的研究中(627位)並未發現Mesalazine對懷孕婦女或健康胎兒/新生兒造成傷害。 迄今為止還未有其他相流行病學數據。 曾有一例報告顯示，在懷孕期間長期服用高劑量(2-4g，口服)的Mesalazine，導致新生兒的腎功能衰竭。 以Mesalazine做動物口服試驗，對懷孕、胚胎/胎兒的發展並無直接或間接傷害，特別試產後發展。 懷孕期間，Mesalazine應僅限於醫師判斷治療需要性大於可能發生之風險，且應謹慎使用。,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,[仿單]N-acetyl-5-aminosalicylic acid及少量Mesalazine被排至乳汁，雖其臨床意義不確定。 迄今為止哺乳之相關研究有限。嬰幼兒無法排除之過敏反應，如:腹瀉。 因此，哺乳期間使用Mesalazine應判斷治療需要性大於可能發生之風險。 假如病人在治療期間出現嬰幼兒腹瀉症狀，應立即停止哺乳。,R;RECT;,,,,,1. 儲存於乾燥陰涼(15-25℃)處。 2. 請儲存於原包裝中避光保存，使用前需拆開塑膠包裝.
ODEL,Dexchlorpheniramine,Delamin 2mg,HIMM,Palliative treatment of allergic reaction.,Acute attack of asthma. Premature infants.,Drowsiness， dizziness; dry mouth. GIT disturbances. Hypotension， muscular weakness， tinnitus， euphoria， headache. CNS stimulation. Allergic reaction. Blood disorders.,25℃以下,Adult: 1 TAB. TID-QID. Children : 6-12 years 1/2 TAB. 3-6 years 1/4 TAB. TID-QID.,無需調整劑量,,無需調整劑量,可能安全,Compatible,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,AC;AC15;PC;PO;WM;,,,,,
OBCO,Vitamin B complex,Betacom(B complex) 限自費,NUTR,,適應症: Prevention & treatment of vit B deficiency.,,室溫,Adult 2-3 tab daily， children 8-12 years 1 tab daily， 5-7 years 1/2 tab daily.,,,,安全,,,Compatible 哺乳時可使用,,,,,,,
YGLU,Glucosamine 150m,噢立喜樂葡胺300'S,NUTR,,,,,,,,,,,,,,,,,,,
OCELA,Pergolide,CELANCE 0.25mg,CNEU,,適應症:控制週期性肢體顫動、腦神經激素調整等(B019552100),,,Initially 0.05 mg daily for the first 2 days， gradually increased by 0.1 or 0.15 mg daily every 3rd day over the next 12 days . Then increase by 0.25 mg daily every 3rd day until optimal response. Max: 5 mg daily. Usually administered in divided dose 3 times/day. Dosage of concurrent l-dopa/carbidopa may be cautiously decreased during dosage titration.,,,,可能安全,,,,,,,,,,
OLOD,Zotepine,Lodopin 25mg,CNEU,,適應症: Schizophrenia. 副作用: Sleepiness， weakness， malaise， insomnia， thirst， constipation， dizziness. 禁忌:Patients with coma or circulatory collapse， patients on epinephrine， hypersensitivity to phenothiazines， suspected subcortical lesions (eg encephalitis， cerebral tumor & sequelae of brain trauma).,,室溫,Adult: 75-150 mg daily in divided doses， up to 450 mg/day,,,,沒有資料,,,,,,,,,,
INOV3,Insulin Aspart 30 + NPH 70,Novomix 30 penfill 3mL,META,,適應症:Treatment of patients with diabetes mellitus. 副作用:Hypoglycaemia， edema， refraction anomalies， hypersensitivity reactions， lipodystrophy 禁忌:Hypoglycaemia.,,2-8℃,Individualised dosage. Administered by SC inj. Penfill should be used with NovoPen 4 & NovoFine Needles,,,,沒有資料,,,Compatible 哺乳時可使用,,,,,,,
OFOX,Flavoxate,FOXate 200 mg,SGU,,適應症: Symptomatic relief of prostatitis， urinary frequency. 副作用: GI disturbances; hypersensitivity reactions; headache， sedation， vertigo， confusion; intraocular pressure. Rarely， leukopenia. 禁忌: GI hemorrhage; obstructive uropathies of the lower urinary tract. Children <12 years. Pyloric or duodenal obstruction， obstructive intestinal lesions of ileus.,,室溫,Adult:1 tab tid.,,,,可能安全,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
IFIB,Sodium Tetradecyl Sulphate,FIBRO-VEIN inj 3%， 5mL,ZOTH,,,,,,,,,,,,,,,,,,,
IPUR3,Follitropin beta,PUREGON cartridge 300IU,HM,,適應症:Treatment of female infertility due to anovulation in women who have been unresponsive to treatment with clomiphene citrate. Controlled ovarian hyperstimulation to induce the development of multiple follicles in medically assisted reproduction programs. 副作用:Ovarian hyperstimulation， bruising， pain， redness， swelling & itching， ectopic pregnancy， multiple gestations， arterio-thromboembolisms. 禁忌:Ovarian， breast， uterine， pituitary or hypothalamic tumours. Pregnancy or lactation. Undiagnosed vag bleeding. Primary ovarian failure. Ovarian cysts or enlarged ovaries， not related to polycystic ovarian disease (PCOD). Sexual organ malformations incompatible with pregnancy. Uterine fibroid tumours incompatible with pregnancy.,,2 ~ 8 °C,Anovulation 50 iu daily， maintained for at least 7 days. Controlled ovarian hyperstimulation in medically assisted reproduction programs Starting dose of 100-225 iu for at least the 1st 4 days,無需調整劑量,,無需調整劑量,不可使用,Uknown 沒有資料,,Unknown 沒有資料,,SC;,,,,,1. 本藥品是注射匣設計，與注射筆配合使用。
IDEX,Low Molecular Dextran Dextrose,Dextran (血賜多朗滴) inj 500mL,HEMT,As plasma expander in haemorrhage.,Hypersensitivity. Severe renal disease with oliguria or anuria. Marked cardiac decompensation. Pregnancy.,GI disturbances; headache， dizziness; allergic reactions; raised liver enzyme values; alopecia; bone marrow suppression.,30℃以下,Normally IV 500mL one time. IV 20 mL/kg on the first 24 hours. For treatment or prevention of thrombosis， 10mL/kg daily in 5 days.,無需調整劑量,,無需調整劑量,除非治療上需要,Uknown 沒有資料,,Unknown 沒有資料,,IVD;,,,,"注射速率:20~40mL/mins，Max:20mL/kg/day",1.未稀釋亦可使用 2.Max:20mL/kg/day
EGENO,Gentamicin,Gentamicin 眼藥膏 0.3%， 5gm,TOPH,,適應症: Treatment of ocular infections due to susceptible organisms. 副作用: Rarely， transient stinging. 禁忌: Hypersensitivity.,,室溫,Apply bid-tid to the affected eye(s).,無需調整劑量,,無需調整劑量,除非治療上需要,,,Compatible 哺乳時可使用,,,,,,,
EGEN,Gentamicin,Gentamycin OPH sol 0.3%， 3mL,TOPH,,適應症: Bacterial inflammations of conjunctiva， cornea， lid margin & lacrimal sac; styes， corneal ulcers， corneal infections. 副作用: Irritation， pain， stinging & burning.,,室溫,1-2 drop 3-8 times daily.,,,,除非治療上需要,,,Compatible 哺乳時可使用,,,,,,,
IGW250A,Glucose,配藥用 Glucose inj 5% 250mL,MSIV,,,,,配藥用子醫令,無需調整劑量,,無需調整劑量,沒有資料,Uknown 沒有資料,,Unknown 沒有資料,,IVD;,,,,,
ETOPC,Fluocinonide,Topsym 軟膏5gm (自費),TDER,,適應症: Eczema; dermatitis; psoriasis; vitiligo; alopecia; pustulosis; prurigo. 副作用: Burning， itching， irritation， dryness; perioral dermatitis; allergic contact dermatitis; skin atrophy. 禁忌: Vaccinia & varicella.,,室溫,Apply once-tid.,,,,沒有資料,,,,,,,,,,
OAVA2,Rosiglitazone + Metformin,AvandaMet 2mg/500mg,META,,適應症: Type 2 DM. 副作用:Upper resp tract infection， headache， back pain， hyperglycemia， fatigue， sinusitis， diarrhea， viral infection， arthralgia. Anaemia. Rosiglitazone: Hypoglycaemia， oedema， anaemia， hypercholesterolaemia， dose-related wt gain， CHF， pulmonary oedema， pleural effusions. Metformin: Nausea， vomiting， diarrhoea， abdominal pain， loss of appetite， metallic taste. Cardiovascular: Edema (6% to 25% ) Endocrine metabolic: Hypoglycemia (12% ) Gastrointestinal: Diarrhea (12.7% to 14%) Hematologic: Anemia (4% to 7.1% ) 禁忌: ketoacidosis or pre-coma， renal failure. 衛生署公告(99.10.14) 1.不建議該成分(rosiglitazone)使用於缺血性心臟病之病人。 2.不建議該成分使用於心臟衰竭之病人。 3.禁用於心衰竭第3級或第4級(NYHA Class III or IV cardiac status )病人,,室溫,starting does : 2/ 500 mg daily. max daily dose: 8 / 2000 mg.,,,,除非治療上需要,,,,,,,,,,
ETRI,Fluocinolone + Hydroquinone + Tretinoin,TRI-LUMA cream 15gm,TDER,,適應症: Short-term treatment of moderate to severe melasma of the face， in the presence of measures for sun avoidance， including the use of sunscreens. 副作用: Erythema， desquamation， burning， dryness & pruritus at the site of application. 禁忌: Individuals with a history of hypersensitivity， allergy， or intolerance to Tri-Luma or any of its components.,,室溫,Apply a thin film of cream to hyperpigmented areas of melasma including about 0.5 inch of normal appearing skin surrounding each lesion. Rub lightly & uniformly into the skin. Apply once daily at night 30 minutes before bedtime.,,,,沒有資料,,,,,,,,,,
OSES,Timepidium,Sesden 30mg,ALIM,,適應症: Pain associated with smooth muscle spasm eg. gastritis， peptic ulcer， enteritis， gallbladder & bile-duct diseases; lithangiuria， pancreatitis. 副作用: Rarely shock; photophobia， visual disturbances; headache， dizziness， lightheadedness， drowsiness; dry mouth， nausea， vomiting， constipation， anorexia， abdominal distention; palpitation， tachycardia; hypersensitivity reactions; difficulty in micturition， dysuria; flushing & lassitude. 禁忌: Glaucoma; dysuria; severe cardiac disease; paralytic ileus.,,室溫,30 mg tid.,,,,沒有資料,,,,,,,,,,
IGS5A,Dextrose + Sodium Chloride,配藥用 5%Dextrose in 0.9% NaCl 500mL,MSIV,,,,,,,,,,,,,,IVD;,,,,,
