ÃÄ«~¥N½X,¦³®Ä¤é´Á(°_),¦³®Ä¤é´Á(¨´),ÃÄ«~ª¬ºA,°Ó«~¤¤¤å¦WºÙ,°Ó«~­^¤å¦WºÙ,°Ó«~¾Ç¦W,³~®|,ÀW²v,ÃÄ²z¤ÀÃþ1,ÃÄ²z¤ÀÃþ2,¾¯«¬,¦¸³æ¦ì¾¯¶q,³q¥Î°Ó«~¦W,²Õ®Mµù°O,DCµù°O,DC´À¥NÃÄ,Á{±Äµù°O,¥i°hÃÄ,ÃÄ¥]¾÷,°·«O­­¨î,ÃÄÅÒ¦C¦Lµù°O,ÃÄ«~¶i¦ìµù°O,¾AÀ³¯g(¤¤)1,¾AÀ³¯g(¤¤)2,¾AÀ³¯g(­^)1,¾AÀ³¯g(­^)2,¥~Æ[(¤¤),¥~Æ[(­^),°Æ§@¥Î(¤¤),°Æ§@¥Î(­^),ºÞ¨î§Ü¥Í¯ÀÃþ§O,ªù¦í¶E¨Ï¥Îµù°O,¤¤¤å°Ó«~¦W,¼ÐÅÒ°Ó«~¦W,¬Ì­]ºØÃþ,¥»°|­­¨î,¶^­Ë°ª­·ÀIÃÄª«,»ó­GºÞ¥i¥Î,­¹ª«¥æ¤¬§@¥Î,Äµ»y(¤¤)1,Äµ»y(¤¤)2,Äµ»y(­^)1,Äµ»y(­^)2,³Æ¥ÎÄæ,³Æµù(­^),ÃÄ§½¤º³¡·¾³qMEMO,¯S®íÃÄ¨ÆªA°È¶O,³B¤èÅÒ¦C¦L¤ÀÃþ,Äµ»y,°ªÄµ°T,¾¯«¬´£¥Ü,³Ì¤jìH­È,³Ì¤pìH­È,»ÝªþªÅ°w,¥]¸Ë¶q,ÂIºw,¶E¶¡´£¥Ü,©T©w³~®|­­¨î,©T©wÀW²v­­¨î,ÃÄ«~¦¨¤Àµù°O,µoÃÄ½Ã±Ð,³s³B¦^§åµù°O,³s³B¶}¥ß­­¨î,¿i¯»µù°O,UD·|¹L±b,ÃÄ§½Àx¦ì,ªù¶E¨C¦¸¶q,¦í°|¨C¦¸¶q,ªù¶E¨C¦¸¶q³Ì¤j¶q,¦í°|¨C¦¸¶q³Ì¤j¶q,ªù¶E³Ì¤jµ¹ÃÄ¤Ñ¼Æ,¦í°|³Ì¤jµ¹ÃÄ¤Ñ¼Æ,ªù¶E¹w³]ªA¥Î¤Ñ¼Æ,¦í°|¹w³]ªA¥Î¤Ñ¼Æ,ªù¶E¨C¤é³Ì¤j¶q,¦í°|¨C¤é³Ì¤j¶q,ªù¦í¤p¨à¨C¤é·¥¶q/kg,ªù¦í¤p¨à¨C¦¸·¥¶q/kg,¨C¦¸¦í°|³Ì¤jÁ`¶q,¹Ï¤ù,¤p¨à°®¯»µ}ÄÀ²G,¤p¨à¾¯¶q´«ºâ1,¤p¨à¾¯¶q´«ºâ2,¤p¨à¾¯¶q´«ºâ3,¤p¨à¤é¾¯¶q«ØÄ³,ATC_CODE_1,ATC_CODE_2,ATC_CODE_3,ATC_CODE_4,ATC_CODE_5,DDD³æ¦ì¾¯¶q_­È,DDD³æ¦ì¾¯¶q_³æ¦ì,DDD_­È,DDD_³æ¦ì,­p»ù³æ¦ì,¨Æ«e¼f¬d,ªù¶Eµ¹¥I,¦í°|µ¹¥I,°·«O®Ö»ù¦¨¤À¦WºÙ,°·«OATC_CODE,°·«O¥N½X,¯S¶E°ê»ÚÂåÀø±M¥Î,HL7¾¯«¬¥N½X1,HL7¾¯«¬¥N½X2,¦M®`©ÊÃÄª«,ª`®g¾¯¦¸¤ÀÃþ,ª`®g¾¯¥]¸Ë¾¯¶q_­È,ª`®g¾¯¥]¸Ë¾¯¶q_³æ¦ì,¥]¸ËÅé¿n_­È,¥]¸ËÅé¿n_³æ¦ì,IVDµ}ÄÀ,¿éª`¼Ò¦¡,²§°Ê¤H­û,²§°Ê®É¶¡,°·«O»ù®æ,¦Û¶O»ù®æ
EATREU,20210325,99999999,°±¥Î,Atropine Eye Drops 0.01%¡A 0.5mL/¤ä,Atropine Eye Drops 0.01%¡A 0.5mL/¤ä,Atropine,OU,HS,TOPH,OP-04-00,¥~¥Î,ºw,Atropine,«D²Õ®M,°±¥Î,ESAT,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:´²Àû©Î³Â·ô·ûª¬¦Ù,,Indication:Mydriasis or cycloplegia,,¥~ Æ[: 0.5²@¤É³æ¤ä¸Ë²´ÃÄ¤ô,Appearance: 0.5mL eye drop in plastic container.,µø½u¼Ò½k¡A ¹ï¥ú¦³±Ó·P©Ê,Blurred vision¡A sensitivity to light,,¬Ò¥i¥Î,¨È§´©ú²´ÃÄ¤ô0.01%,Atropine Eye Drops 0.01%,,,,¬O,,À³Á×§K¶}¨®©Î»Ý­nµøÄ±©Êªº¤u§@,¥i¦^»\¦¡¥]¸Ë¡A»Ý©ó24¤p®É¤º¨Ï¥Î§¹²¦.«C¥ú²´±wªÌ¤£¥i¨Ï¥Î,Make sure your vision is clear before you drive¡A or use machines.,The re-cap package¡A and used up within 24 hours. Avoid for glaucoma patients,³Æµù: ­Y¦P®É¨Ï¥Î¨âºØ²´ÃÄ¤ô½Ð¶¡¹j5¤ÀÄÁ¡A­YµLÂå®v«ü¥Ü¡A µL¥ý«á¶¶§Ç,Allow at least 5 minutes between different eye preparation,2021.Q1ÃÄ©e·s¶i,¤@¯ë,¤@¯ë,Äµ»y:À³Á×§K¶}¨®©Î»Ý­nµøÄ±©Êªº¤u§@,,,0,0,§_,1.0,,¬O,¬O,§_,³æ¤è,§_,°±¥Î,°±¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,999,999,30,30,1.00,1.00,0,0,,¦³¹Ï¤ù,,0,,0,,S01FA01,,,,,0,,0,,¤ä,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,AdministrableDrugForm,OPDROP,,,0,,0,,,,PH006,202401281003,0,30.00
EATRI,20040901,99999999,°±¥Î,Atrovent MDI 200pff/10mL,Atrovent MDI 200pff/10mL,Ipratropium,IH,AS,ERSP,RE-01-00,¥~¥Î,PFF,Atrovent,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥DªvºC©Êªý¶ë©Ê®ðºÞª¢¡B¤ä®ðºÞ®ð³Ýµ¥,,,,,,,,,¥u¥Î©óªù¶E¤Î¦í°|STAT,©w³Ý¼Ö¼QÃú²G,Atrovent MDI 200pff/10mL,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y:¬°§l¤J¾¯,,,,,§_,200.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,2.00,2.00,2.00,2.00,60,30,30,30,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,BOT,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,IPRATROPIUM,R03BB01,A035504129,§_,GasSolidSpray,MDINHLPWD,,,,,,,,,PH047,202303141637,170.00,204.00
EATRU,20031225,99999999,°±¥Î,Atrovent U.D.V.0.5mg,Atrovent U.D.V.0.5mg,Ipratropium,IH,,ERSP,RE-01-00,¥~¥Î,VAL,,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,¦¸­p¶q¶i¦ì,¾AÀ³¯g:¥DªvºC©Êªý¶ë©Ê®ðºÞª¢¡B¤ä®ðºÞ®ð³Ýµ¥,,,,¥~ Æ[: 2 ml ¶ì½¦¦wÞÀ,,,,,¬Ò¥i¥Î,©w³Ý¼Ö³æ¤@¾¯¶q§l¤J²G,Atrovent U.D.V.0.5mg,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y: °t¦XÃú¤Æ¾¹¨Ï¥Î¤§©I§lªvÀø¥ÎÃÄ¡A»ÝÁ×¥úÀx¦s©óÄá¤ó25«×¥H¤U«Ç·Å¡C,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,999.00,999.00,999,999,1,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,VAL,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,IPRATROPIUM,R03BB01,BC18863412,§_,GasLiquidMixture,INHLSOL,,,,,,,,,PH047,202303141637,7.40,10.00
EAVA,20101001,99999999,¥i¥Î,Avamys 27.5mcg/dose¡A 120dose nasal spray,Avamys 27.5mcg/dose¡A 120dose nasal spray,Fluticasone,IN,QD,TENT,EN-02-00,¥~¥Î,PFF,Fluticasone,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ªvÀø2·³¥H¤Wªº¨àµ£¡B«C¤Ö¦~»P¦¨¤Hªº¹L±Ó©Ê»óª¢¡C,,Indication:Seasonal & perennial rhinitis,,¥~ Æ[: ¥Õ¦â¥~²~²LÂÅ¦â»\¤l,Appaerance: an off-white plastic device with a blue lid,»´·L§½³¡¤£¾A¡A¬y»ó¦å¡A»ó¤lµh,Mild local discomfort¡A nosebleeds¡A nasal sores,,¬Ò¥i¥Î,¦ã±ÓÄÀ»ó¥Î¼Q²GÄa¯B¾¯,Avamys 27.5mcg/dose¡A 120dose,,,§_,¬O,,­Y¦³»óµÄ¥~¶Ë©Î¤â³NªÌ¡A »Ýµ¥¨ì¶Ë¤fÂ¡¦X«á¤~¨Ï¥Î¥»¼Q¾¯,,Do not use this spray if you have nasal wound.,,,,,¤@¯ë,¤@¯ë,Äµ »y:­Y¦³»óµÄ¥~¶Ë©Î¤â³NªÌ¡A »Ýµ¥¨ì¶Ë¤fÂ¡¦X«á¤~¨Ï¥Î¥»¼Q¾¯,,,,,§_,120.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,°±¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,28,30,4.00,4.00,0,0,0,¦³¹Ï¤ù,,0,,0,,R01AD12,R03BA09,,,,,,,,BOT,,°·«Oµ¹¥I,°·«Oµ¹¥I,FLUTICASONE,R01AD12,BC248774FK,§_,GasLiquidMixture,NASSPRY,,,,,,,,,PH006,202307101012,220.00,264.00
EAZA,20140616,99999999,¥i¥Î,Azarga 0.5/1%¡A 5mL ophthalmic suspension,Azarga 0.5/1%¡A 5mL ophthalmic suspension,Timolol + Brinzolamide,OU,BID,TOPH,OP-05-06,¥~¥Î,ºw,Azarga,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:«C¥ú²´¡A °ª²´À£µ¥,,Indication:Lowering of ocular pressure.,,¥~ Æ[:5 mL ²°¸Ë²´¥ÎÃÄ¤ô,Appearance:5mL eye drop bottle¡A white box,¨ýÄ±²§±`¡Aµø¤O¼Ò½k¡A²´·ú¨ëµh¡A²´·ú¦³²§ª«·P,Taste perversion¡A blurred vision¡A eye irritation¡A foreign body sensation in eyes,,¬Ò¥i¥Î,½Æ¤è·RµÎÀ£Äa¯B²G,Azarga 0.5/1% oph susp,,,,¬O,,­Y¦³®ð³Ý©ÎµjÅË©Ê®ðºÞª¢®É¡A À³¤p¤ß¨Ï¥Î¥»ÃÄ,,Should not use this medicine if patient has asthma that is not well-controlled.,,¹ïÁDÓiÃÄ¹L±ÓªÌ¸T¥Î,Notify your doctor if you are allergic to sulfa drugs.,103¦~²Ä¤G¦¸ÃÄ©e¶iÃÄ,¤@¯ë,¤@¯ë,Äµ »y:¹ïÁDÓiÃÄ¹L±ÓªÌ¸T¥Î,,,0,0,§_,100.0,,§_,¬O,§_,½Æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,60,99,28,1,6.00,6.00,0,0,,¦³¹Ï¤ù,,0,,0,,S01ED01,S01EC04,S01ED51,,,0,,0,,BOT,,°·«Oµ¹¥I,°·«Oµ¹¥I,TIMOLOL 5MG/ML + BRINZOLAMIDE 10.00MG/ML,S01ED51,BC25115421,§_,AdministrableDrugForm,OPDROP,,,,,,,,,PH022,202312221645,263.00,316.00
EAZE,20071224,99999999,°±¥Î,Azela nasal spray 100dose,Azela nasal spray 100dose,Azelastine,IN,,TENT,EN-02-00,¥~¥Î,PFF,Azela,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤w°±¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g: ¹L±Ó©Ê»óª¢,,Indication:Treatment of allergic rhinitis,,¥~ Æ[: ²`¾ï¦â¬Á¼þ²~,,¥i¯à²£¥Í¨ýÄ±»ÙÃª,May produce a taste disturbance.,,¥u¥Î©óªù¶E¤Î¦í°|STAT,·R»ó¦w»ó¥Î¼Q²G,Azela nasal spray 100dose,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,,,§_,99.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,99.00,99.00,30,30,1,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,,,,,,,,,,BOT,,°·«Oµ¹¥I,°·«Oµ¹¥I,AZELASTINE,R01AC03,A047879455,§_,GasLiquidMixture,NASSPRY,,,,,,,,,PH047,202303141637,184.00,221.00
EAZET,20190730,99999999,°±¥Î,Azetin Nasal Spray 140 mcg/dose,Azetin Nasal Spray 140 mcg/dose,Azelastine,IN,BID,TENT,EN-02-00,¥~¥Î,PFF,Astepro,«D²Õ®M,°±¥Î,,,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¹L±Ó©Ê»óª¢,,Indication:Allergic rhinitis,,¥~ Æ[:¥Õ¦â¶ì½¦¥~²~,Appearance:A white plastic device.,§x­Â¡A§½³¡¤£¾A¡A¬y»ó¦å¡A»ó¤l¨ëµh¡A­W¨ý¡Aäú¤ß,Sleepiness¡A local discomfort¡A nose bleeds¡A nasal tingling¡A bitter taste¡A nausea,,¬Ò¥i¥Î,¼Q¥ß°±»ó¥Î¼Q²G¾¯,Azetin Nasal Spray,,,¬O,¬O,,²Ä¤@¦¸¨Ï¥Î½Ð¹ïªÅÀ£©ñ¤C¦Ü¤Q¦¸¡Aª½¨ì¼Q¥XÃúª¬ÃÄ²G¬°¤î¡C,,Before the first using¡A please spray to the air for seven to ten times,until the mist is sprayed.,¤Ö¼Æ¤H¨Ï¥Î«á¥i¯à¤Þ°_¯h­Â¡A ·QºÎªº²{¶H,May cause fatigue¡A sleepiness.,2019Q2Á{®É·|·s¼W,¤@¯ë,¤@¯ë,²Ä¤@¦¸¨Ï¥Î½Ð¹ïªÅÀ£©ñ¤C¦Ü¤Q¦¸¡Aª½¨ì¼Q¥XÃúª¬ÃÄ²G¬°¤î¡C,,,0,0,§_,120.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,°±¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,28,28,4.00,4.00,0,0,,¦³¹Ï¤ù,,0,,0,,S01GX07,R01AC03,,,,0,,0,,BOX,,°·«Oµ¹¥I,°·«Oµ¹¥I,AZELASTINE,R01AC03,AC48635457,§_,GasLiquidMixture,NASSPRY,,,0,,0,,,,PH038,202209081121,91.00,114.00
EAZL,20230712,99999999,¥i¥Î,Azel cream 30gm,Azel cream 30gm,Azelaic Acid,EXT,,TDER,DE-07-00,¥~¥Î,¾A¶q,Skinoren Cream,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:´M±`©ÊÚµ½H(«C¬Kµk¡A ¯»¨ë¡A ­±¯p),,Indication:Acne vulgaris.,,¥~ Æ[:30gm³nºÞ,Appearance:30gm tube,¨`¼ö·P¡A »´·L¨ëµh·P¡A ¥Ö½§°®Àê¡A Äo¡A ²æ¥Ö¡A ÅÜ¬õ,Burning¡A stinging¡A or tingling of skin¡A mild¡A dryness of skin¡A itching of skin¡A,,¬Ò¥i¥Î,«ä´A¨Å»I,Azel cream 30gm,,,,¬O,,¬°¥~¥ÎÃÄ«~¡A ½Ð§½³¡¨Ï¥Î¡A ¤Å±µÄ²²´·ú©Î»~ªA,¨Ï¥Î«eÀ³¹ý©³²M¼ä¥Ö½§¡C,For external use. Avoid contact with the eyes or oral consumption.,Thoroughly clean the skin before use.,¹ï¤þ¤G¾J(propylene glycol)¹L±ÓªÌ¸T¥Î¡C,Do not use in individuals allergic to propylene glycol.,202307 ESKI ¯Ê³f´À¥N,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,0,0,§_,99.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,9.00,9.00,999,999,7,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,D10AX03,,,,,0,,0,,TUB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,AZELAIC ACID,D10AX03,AC44649343,§_,LiquidLiquidEmulsion,TOPCRM,,,0,,0,,,,PH022,202312221646,195.00,234.00
EAZO,20040901,99999999,¥i¥Î,Azopt 1%¡A 5mL ophthalmic suspension,Azopt 1%¡A 5mL ophthalmic suspension,Brinzolamide,OU,BID,TOPH,OP-05-03,¥~¥Î,ºw,,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv«C¥ú²´¡A °ª²´À£µ¥,,Indication:Lowering of ocular pressure,,¥~ Æ[:¥Õ¦â5mL¥~²~,Appearance:5mL eye drop bottle¡A white/green box,¨ýÄ±§ïÅÜ¡A µ¹ÃÄ«áµu¼Èªºµø¤O¼Ò½k,Bitter¡A sour¡A or other unusual taste¡A blurred vision for a short time after use,,¬Ò¥i¥Î,·RµÎÀ£ÂI²´²G,Azopt 1% 5mL ophthalmic,,,§_,¬O,,¹ïÁDÓiÃÄ¹L±ÓªÌ¸T¥Î,,Notify your doctor if you are allergic to sulfa drugs.,,³Æµù: ­Y¦P®É¨Ï¥Î¦hºØ²´¥Î»s¾¯¡A ½Ð¶¡¹j¦Ü¤Ö5¤ÀÄÁ¡C,Wait at least 5 minutes between different eye preparations.,,¤@¯ë,¤@¯ë,Äµ »y:¹ïÁDÓiÃÄ¹L±ÓªÌ¸T¥Î,,,,,§_,100.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,60,999,28,1,6.00,6.00,0,0,,¦³¹Ï¤ù,,0,,0,,S01EC04,,,,,,,,,BOT,,°·«Oµ¹¥I,°·«Oµ¹¥I,BRINZOLAMIDE,S01EC04,BC22934421,§_,LiquidSolidSuspension,OPSUSP,,,,,,,,,PH022,202312221646,246.00,295.00
EBAAG,19960101,99999999,°±¥Î,BAAG soln 20mL,BAAG soln 20mL,Boric Acid + Alcohol Glycerin,AU,,TENT,EN-01-00,¥~¥Î,¾A¶q,BAAG,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¬°¦Õ¥Î§Üµß¾¯,,Indication:Topical use for chronic otitis media,,¥~ Æ[:20 mL ³z©ú²~¸Ë(ÂI¦Õ¥Î),Appearance:20mL ear drop bottle,§½³¡¨ë¿E,Local irritation,,¥u¥Î©óªù¶E¤Î¦í°|STAT,¸N¤Æ¾J²G(ÂI¦Õ¥Î),BAAG soln 20mL,,,§_,¬O,,½Ð¨Ì·Ó«ü¥Ü´Á­­¤º¨Ï¥Î¡A «ØÄ³ÃÄ«~¶}«Ê¤@­Ó¤ë«á¤£À³¦A¥Î,,Follow doctor's advice. Use within one month after opening package.,,,,,¤@¯ë,¤@¯ë,Äµ »y:½Ð¨Ì·Ó«ü¥Ü´Á­­¤º¨Ï¥Î¡A«ØÄ³ÃÄ«~¶}«Ê¤@­Ó¤ë«á¤£À³¦A¥Î,,,,,§_,99.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,999.00,999.00,999,999,7,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,S02AA03,,,,,,,,,BOT,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,AdministrableDrugForm,OTDROP,,,,,,,,,PH047,202303141637,0,50.00
EBBL,19960101,99999999,°±¥Î,B.B. lotion 25%¡A100mL,B.B. lotion 25%¡A100mL,Benzyl benzoate,EXT,,TDER,DE-03-00,¥~¥Î,¾A¶q,B.B.Lotion,«D²Õ®M,°±¥Î,EJAL,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ªvÀø¬ÎÅ~¤Îªë¦ä·P¬V,,Indication:Treatment of scabies¡A head lice.,,¥~ Æ[:¥Õ¦â100mL¥~²~,Appearance:100 mL white bottle,¥Ö½§¨ë¿E¡A ¨`¼ö·P,Skin irritation¡A burning sensation.,,¥u¥Î©óªù¶E¤Î¦í°|STAT,§Q½¾¬~¾¯,B.B. lotion,,,§_,¬O,,¬°¥~¥ÎÃÄ«~¡A ½Ð§½³¡¨Ï¥Î¡A ¤Å±µÄ²²´·ú©Î»~ªA,,For external use. Avoid contact with the eyes or oral consumption.,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,,,§_,99.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,9.00,9.00,999,999,7,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,P03AX01,,,,,,,,,BOT,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,Liquid,TOPSOL,,,,,,,,,PH047,202303141637,0,192.00
EBEC,19960101,99999999,°±¥Î,Beclomet nasal aqua 100mcg/dose,Beclomet nasal aqua 100mcg/dose,Beclomethason,IN,,TENT,EN-02-00,¥~¥Î,PFF,Beclomet,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv¹L±Ó©Ê»óª¢,,,,,,,,,¥u¥Î©óªù¶E¤Î¦í°|STAT,,Beclomet nasal aqua 100mcg/d,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,,,§_,200.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,2.00,2.00,60,30,30,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,BOT,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,BECLOMETHASONE,R01AD01,B020454438,§_,GasLiquidMixture,NASSPRY,,,,,,,,,PH047,202303141637,351.00,421.00
EBET,20140121,99999999,¥i¥Î,Betason-N ²´ÃÄ»I3gm,Betason-N eye ointment 3gm,Betamethasone + Neomycin,OU,,TOPH,OP-02-00,¥~¥Î,¾A¶q,,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:²´³¡©Î¨ä¥L³¡¦ì¹L±Ó©Êµoª¢¯gª¬,,Indication:inflammatory conditions of the eye,,¥~ Æ[:¥Õ¦â3gm³nºÞ¡A¥Õ¦â»\¤l¡A ¥Õ¦â©³³¡¡A¤¤¶¡¶À¦â±ø¯¾,Appearance:3gm white tube,¨`¼ö·P¡B ¥Ö½§Äo¡BÁ±¨ë·P,Burning¡A itching¡A stinging,,¬Ò¥i¥Î,¤ñ¹F²n,Betason-N eye ointment 3gm,,,§_,¬O,,°£Âå®v«ü¥Ü¥~¡A ½Ð¤Åªø´Á©Î±K¶°¦a«ùÄò¨Ï¥Î,,Follow doctor's advice. Do not use this medicine for long term.,,­Y¯gª¬¼Æ¤é¤º¥¼§ïµ½©Î§óÄY­«¡A½Ð§iª¾Âå®v,Consult your doctor if symptoms persist or get worse.,,¤@¯ë,¤@¯ë,Äµ »y:°£Âå®v«ü¥Ü¥~¡A½Ð¤Åªø´Á©Î±K¶°¦a«ùÄò¨Ï¥Î,,,0,0,§_,99.0,,§_,¬O,§_,½Æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,9.00,9.00,999,999,7,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,S01CA05,S01AA03,S01BA06,,,,,,,TUB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,BETAMETHASONE 2MG/GM + NEOMYCIN 3.5MG/GM,S01CA05,AC10478416,§_,LiquidLiquidEmulsion,OPOINT,,,,,,,,,PH022,202312221646,15.50,20.00
